ACSSF,2019m1,nc,000,0108,0000023,1929,8544,6117,14632,57372,17257,16766,40246,3756,.,21721,8447,.,1008,36738,95120,204379,.,6844,.,43459,.,43568,4383,3574,28829,28913,38615,37664,13201,.,15998,13741,8099,26252,33507,22250,3856,5936,19144,7410,16893,33728,.,48267,96300,16459,43903,.,14934,.,10044,20107,27537,2789,14749,.,.,.,1674,8562,22884,4464,6346,5512,.,.,.,.,7188,15125,41097,.
ACSSF,2019m1,nc,000,0108,0000024,1717,2361,5084,14360,15225,32897,15401,28392,39205,13456,6943,2714,70141,2855,5650,15010,65331,9580,3984,10435,9167,12921,17989,6303,3949,2415,3742,3327,8046,3489,18361,3967,9465,2081,5003,6441,5239,1134,2734,6135,8077,14852,31033,44688,37896,.,3511,1896,13597,5392,8316,3315,10733,5473,860,3472,5498,36301,3849,2156,7060,2246,1941,2549,2519,31166,.,21980,59121,2758,6226,3988,7276
ACSSF,2019m1,nc,000,0108,0000025,1211,1802,5605,16184,20757,3155,12213,44279,5330,.,5820,8470,.,5245,19539,27219,52323,.,2857,.,19256,9913,23162,14986,7085,17930,17046,12342,7382,5192,2932,7251,2853,2560,9997,10845,8301,1276,4945,13289,14535,13573,28663,9459,.,.,2460,17888,25324,2626,75958,4681,12310,16733,3629,6392,.,.,.,8449,13330,20874,2355,2973,2900,7953,.,.,446,9100,4915,6224,4043
ACSSF,2019m1,nc,000,0108,0000026,1423,3111,3415,5485,23280,3106,8403,5898,15911,25098,10177,7760,64568,19236,11820,11963,10572,5190,4700,24980,37013,58386,.,6744,8572,13108,6474,10410,10306,3047,57628,3205,14774,1262,9424,3049,9490,3207,4120,6710,26933,5220,12576,25332,29309,28093,7346,11655,74421,8578,8115,9184,3914,6112,4417,5237,43319,35433,.,8973,6204,10782,5151,2433,2044,57328,.,70905,57542,9302,12133,16426,21801
ACSSF,2019m1,nc,000,0108,0000027,1592,1196,4937,6289,7320,7274,13900,29766,12027,2421,9534,13695,87257,5707,18725,44013,70413,34085,2743,7065,27281,17208,1692,3960,2598,33785,5142,11444,6096,6013,33665,3506,6957,5899,10936,7431,11486,1262,2528,4700,4738,5555,11092,13714,20715,30348,4861,7443,31701,8236,18293,6100,8550,8661,5343,3252,16499,11828,56515,4806,3732,2833,3141,4456,1522,21936,8853,7812,577,7844,12004,2556,9379
ACSSF,2019m1,nc,000,0108,0000028,3303,4649,34729,9454,7591,75381,30021,51673,164787,.,3435,2073,.,1923,47592,21267,.,.,5830,.,20965,14782,42122,13846,6851,.,8657,8532,45765,10206,.,10726,39129,16948,26175,16814,7956,4405,12158,25131,44593,50190,6981,9454,.,.,14318,31368,.,12813,.,2660,41990,2111,4010,5735,.,.,.,43701,33884,47225,9720,19620,9647,.,.,.,.,10613,8396,.,22302
ACSSF,2019m1,nc,000,0108,0000029,1555,1557,10226,9758,8097,19337,18951,25246,21798,38248,13229,7077,101256,13991,8059,55626,170671,3631,4158,2563,19680,25817,18837,4151,4556,10202,5237,6526,22997,5684,18756,4199,14374,3691,2547,6395,7708,1041,3002,10738,13603,11805,8238,11074,29450,18483,4895,5957,34247,9069,8209,5780,5305,3058,4952,2775,17095,31404,.,5312,12690,9521,3645,8646,1391,39996,.,.,5673,8418,14259,19481,5787
ACSSF,2019m1,nc,000,0108,0000030,2003,2261,4019,8079,9451,13333,7003,19245,14131,30841,6517,3954,88179,7715,26361,28677,23399,266785,2419,19651,13752,19580,26060,2125,7634,921,3780,8478,3603,2072,6989,2722,5688,2163,2579,5936,3556,1763,2431,5737,6746,9597,14954,19697,25955,6189,3751,4418,11366,5704,11516,10586,13228,11492,2021,4075,39594,948,.,1864,6338,2062,1659,4306,1277,3649,.,10041,18948,1905,4006,1461,6103
ACSSF,2019m1,nc,000,0108,0000031,3061,5746,4963,21078,20822,43449,16918,22583,14608,.,9593,32843,.,18659,60283,26077,.,14166,9295,51142,17329,18524,18709,1808,11925,17567,6799,14343,6511,4935,33177,5193,11276,4771,3254,12618,1923,4187,5251,7989,9948,2754,1663,39196,2200,2361,5825,18490,6686,6512,33716,11177,23363,7743,2526,3918,58080,48695,.,2968,1956,7262,3237,9288,4740,59506,.,59506,.,6732,15675,8699,9658
ACSSF,2019m1,nc,000,0108,0000032,4399,4185,6348,14150,13717,18262,27966,30697,24131,.,10445,69416,289960,31548,16361,21119,72188,25978,5800,4116,47045,22488,.,4750,2695,18587,14073,12644,3959,5344,29911,4149,6869,9120,6896,10284,10856,2228,10659,15044,24829,15343,74945,42623,.,.,7614,35035,34547,6865,43547,9515,11239,43580,3537,23884,52966,.,.,4663,21476,363,5509,4793,3361,889,.,.,.,6435,3353,.,4397
