ACSSF,2019e1,nc,000,0027,0000051,119744,22387,14599,82758,101793,17448,12244,72101,9195,3231,2007,3957,4891,1552,348,2991,3865,156,0,3709,,,,,,,,,,,,,,,,,,,,,119990,76081,43909,101462,67487,33975,9119,3867,5252,5544,3042,2502,3865,1685,2180,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000052,66608,9903,6446,50259,63409,9375,5591,48443,2086,365,855,866,857,67,0,790,256,96,0,160,,,,,,,,,,,,,,,,,,,,,66529,47248,19281,63339,45582,17757,2077,842,1235,857,725,132,256,99,157,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000053,78745,17591,8651,52503,71129,14382,7954,48793,4183,1925,539,1719,3024,1284,158,1582,409,0,0,409,,,,,,,,,,,,,,,,,,,,,78826,47226,31600,71406,45684,25722,4176,897,3279,2835,591,2244,409,54,355,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000054,88147,13416,10076,64655,72991,11472,8650,52869,7282,993,785,5504,3948,608,540,2800,3926,343,101,3482,,,,,,,,,,,,,,,,,,,,,87685,43964,43721,73046,37333,35713,7073,2237,4836,3948,2844,1104,3618,1550,2068,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000055,160616,6647,5112,148857,138429,4304,3841,130284,15520,892,212,14416,4127,937,1001,2189,2540,514,58,1968,,,,,,,,,,,,,,,,,,,,,160974,122687,38287,138508,112164,26344,15770,7518,8252,4127,1488,2639,2569,1517,1052,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000056,861656,92454,72605,696597,720235,74612,59414,586209,77484,9274,9424,58786,27927,3725,2238,21964,36010,4843,1529,29638,,,,,,,,,,,,,,,,,,,,,863278,492054,371224,721407,439282,282125,77495,23320,54175,27870,13855,14015,36506,15597,20909,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000057,97492,7779,7903,81810,80011,4425,5055,70531,8816,1999,2148,4669,6516,1100,597,4819,2149,255,103,1791,,,,,,,,,,,,,,,,,,,,,97307,69471,27836,79701,62156,17545,9067,3992,5075,6516,2485,4031,2023,838,1185,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000058,264391,38482,16756,209153,215423,28248,11797,175378,26483,4992,3208,18283,13412,3429,1631,8352,9073,1813,120,7140,,,,,,,,,,,,,,,,,,,,,263163,148493,114670,214837,133590,81247,25860,6609,19251,13485,5286,8199,8981,3008,5973,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000059,200058,37296,21780,140982,147704,27297,13499,106908,25270,5096,4471,15703,11117,1773,933,8411,15967,3130,2877,9960,,,,,,,,,,,,,,,,,,,,,200485,89651,110834,147851,74105,73746,25568,6460,19108,11099,4582,6517,15967,4504,11463,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000060,72657,7715,9786,55156,63774,6525,7446,49803,6042,748,2111,3183,1661,200,174,1287,1180,242,55,883,,,,,,,,,,,,,,,,,,,,,73214,44782,28432,64170,41920,22250,5945,1088,4857,1919,1118,801,1180,656,524,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000061,276117,54454,27154,194509,233336,40857,24912,167567,27878,9822,1719,16337,10111,3319,398,6394,4792,456,125,4211,,,,,,,,,,,,,,,,,,,,,275213,142320,132893,232792,128801,103991,27551,7083,20468,10078,4014,6064,4792,2422,2370,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000062,82401,17016,6933,58452,63097,12580,5632,44885,10314,2172,0,8142,5393,1331,873,3189,3597,933,428,2236,,,,,,,,,,,,,,,,,,,,,81873,33278,48595,63085,28091,34994,10239,2238,8001,5085,1633,3452,3464,1316,2148,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000063,104673,15534,11702,77437,88591,11579,10918,66094,12033,3257,164,8612,2736,642,492,1602,1313,56,128,1129,,,,,,,,,,,,,,,,,,,,,104596,60973,43623,88559,56089,32470,11988,3174,8814,2736,871,1865,1313,839,474,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000064,54838,6412,5241,43185,33620,3282,2894,27444,8603,1300,1284,6019,3765,775,570,2420,8850,1055,493,7302,,,,,,,,,,,,,,,,,,,,,54832,19452,35380,33575,14123,19452,8642,1658,6984,3765,1027,2738,8850,2644,6206,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0027,0000065,439818,42324,36088,361406,361571,30970,29801,300800,59916,9936,5289,44691,9686,480,736,8470,8645,938,262,7445,,,,,,,,,,,,,,,,,,,,,440144,249809,190335,362133,221882,140251,59814,20920,38894,9686,5221,4465,8511,1786,6725,,,,,,,,,,,,,,,
