ACSSF,2019m1,nc,000,0005,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1350,948,370,216,831,281,147,0,0,216,1284,280,280,216,216,1334,216,1334,0
ACSSF,2019m1,nc,000,0005,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,1948,1297,216,324,216,1965,1337,35,1333,0
ACSSF,2019m1,nc,000,0005,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0005,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1335,841,216,202,844,178,247,0,0,145,678,159,1210,77,216,1426,145,1411,0
ACSSF,2019m1,nc,000,0005,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,215,2515,618,756,159,1165,2824,638,2737,0,2543,1612,264,216,156,2047,1444,824,1199,0,0,0,0,0,0,2313,2576,945,1396,2068,1229,1111,0,0,215,2515,618,756,159,1165,2824,638,2737,0
ACSSF,2019m1,nc,000,0005,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2101,1958,216,216,1940,443,255,0,0,216,754,184,542,177,104,844,216,844,0
ACSSF,2019m1,nc,000,0005,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3829,1194,967,977,3900,997,372,0,0,126,2239,236,1594,250,1690,2450,673,2342,0
ACSSF,2019m1,nc,000,0005,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,395,2374,251,740,108,372,2478,104,2482,0,3237,2093,425,128,113,2638,1427,1275,407,0,0,0,0,0,0,4035,1853,482,577,3224,1683,988,0,0,395,2374,251,740,108,372,2478,104,2482,0
ACSSF,2019m1,nc,000,0005,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,107,1442,199,309,216,183,1393,216,1393,0
ACSSF,2019m1,nc,000,0005,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,539,1477,551,554,622,539,1418,178,1413,0,1937,107,222,216,130,1868,464,454,120,0,0,0,0,0,0,1825,1010,1045,931,1349,731,339,0,0,539,1477,551,554,622,539,1418,178,1413,0
