ACSSF,2019m1,nc,000,0053,0000036,,,,,,,,2438,1858,675,855,633,1605,2099,,,,,,,,7553,3563,936,2563,1253,797,4782,5257,2994,1095,2037,1286,840,3264,1760,3624,1612,1433,1247,3283,3542,1171,1816,1517,1408,1346,1520,1796
ACSSF,2019m1,nc,000,0053,0000037,,,,,,,,,,,,,,,,,,,,,,1234,958,216,513,395,335,478,,,,,,,,877,1430,728,807,534,1106,1743,626,643,166,644,200,331,580
ACSSF,2019m1,nc,000,0053,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,949,507,524,606,862,957,,,,,,,
ACSSF,2019m1,nc,000,0053,0000039,,,,,,,,,,,,,,,,,,,,,,1781,897,216,711,332,199,1219,1981,1600,287,676,321,822,1183,727,2036,840,961,928,1932,2035,563,945,216,562,316,638,754
ACSSF,2019m1,nc,000,0053,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416,1860,689,898,356,1014,2178,1062,3034,1510,1338,1002,2496,2782,480,1959,341,268,343,1942,2001
ACSSF,2019m1,nc,000,0053,0000041,,,,,,,,637,1139,330,393,423,689,881,,,,,,,,,,,,,,,1161,968,387,815,247,609,408,482,1768,626,652,716,1600,1679,237,588,686,546,846,599,574
ACSSF,2019m1,nc,000,0053,0000042,,,,,,,,,,,,,,,,,,,,,,1907,1050,624,889,225,359,1423,2209,1401,216,1063,615,426,1318,834,2439,710,830,537,2411,2343,336,704,622,666,304,483,750
ACSSF,2019m1,nc,000,0053,0000043,,,,,,,,,,,,,,,,,,,,,,2597,1263,416,770,437,320,1594,1172,905,288,422,605,304,608,679,1682,792,730,608,990,1676,364,593,513,621,511,518,657
ACSSF,2019m1,nc,000,0053,0000044,846,841,393,466,554,713,1070,,,,,,,,,,,,,,,1407,771,216,638,252,248,867,,,,,,,,447,531,245,278,228,474,733,310,345,258,269,270,252,374
ACSSF,2019m1,nc,000,0053,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,981,625,609,838,767,972,106,491,150,482,554,124,480
ACSSF,2019m1,nc,000,0053,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1016,421,418,347,443,742,771,1958,970,831,859,1580,1777,107,372,478,457,522,179,386
ACSSF,2019m1,nc,000,0053,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,1249,758,704,208,1196,1380,,,,,,,
ACSSF,2019m1,nc,000,0053,0000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,886,508,440,216,811,996,111,320,219,550,379,182,336
ACSSF,2019m1,nc,000,0053,0000049,,,,,,,,732,642,326,461,190,459,644,,,,,,,,2563,1243,289,1085,249,240,1530,1903,1018,282,490,700,274,1184,775,1673,794,733,928,1516,1478,414,964,590,524,418,701,831
ACSSF,2019m1,nc,000,0053,0000050,,,,,,,,1606,1454,641,895,881,1045,1521,,,,,,,,6136,3002,713,1908,1340,904,4220,4517,3340,1167,2022,665,1098,2298,1455,3637,2257,1923,1629,3556,3693,1374,1925,1343,1162,1319,1530,1956
ACSSF,2019m1,nc,000,0053,0000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,716,167,219,373,516,712,657,1317,552,475,570,1169,1270,418,491,194,347,586,302,643
ACSSF,2019m1,nc,000,0053,0000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,772,639,528,152,680,732,,,,,,,
ACSSF,2019m1,nc,000,0053,0000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,903,553,467,452,1007,1072,267,1114,173,855,452,239,1157
