ACSSF,2019m1,nc,000,0090,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6256,7666,12630,4718,8361,7832,2580,5865,5754,15050,4012,7729,9219,2519,13234,32047,141644,9313,10959,11749,.,.,.,.,.,.,.,.,,,,,,,,.,.,.,.,.,.,.,9771,6610,5246,.,14315,11968,.,,,,,,,,4896,6772,19291,996,7304,7356,2440,4949,7972,6768,.,3252,5349,17967,5017
ACSSF,2019m1,nc,000,0090,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,4653,6539,1658,4453,5762,1696,2937,4309,3942,3535,4367,7716,3179,1432,2901,11061,1897,3502,10334,9050,10269,.,.,.,.,.,.,404,.,.,.,.,.,.,.,.,.,.,.,.,.,50069,135708,135883,.,3472,12423,.,29093,.,.,.,.,.,.,2886,4429,4269,3273,4309,7304,3363,5101,115435,169815,.,1083,2108,17582,3610
ACSSF,2019m1,nc,000,0090,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3779,1877,4633,2538,3577,10116,2776,2304,6487,5105,1788,4418,4778,3772,8563,6338,14582,3271,7274,12836,17477,,,,,,,,6134,4186,10259,.,32551,.,23221,.,.,.,.,.,.,.,5574,8594,.,.,9329,.,9802,,,,,,,,6118,8075,6704,2369,6400,6093,4066,4360,6013,6681,6989,12802,1046,5820,2329
ACSSF,2019m1,nc,000,0090,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067,769,1026,1117,1253,1885,891,823,2655,3247,1701,1713,2925,1502,1309,1919,5058,2400,2094,1717,2207,14572,17810,12509,11841,6285,14285,4658,10618,17624,17581,36801,8559,9921,3963,14579,22578,22578,.,18822,23102,.,7599,6544,6641,23411,5448,10096,9759,2248,7177,7520,11358,12130,14439,2543,845,2991,3989,2266,1808,3488,1447,3113,2225,2307,5559,3198,5342,5919,1061
ACSSF,2019m1,nc,000,0090,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739,3256,3722,7388,1258,1286,2065,1191,1839,3054,6168,1297,1452,2169,3773,8876,14644,6525,8770,9739,4198,4227,.,.,.,3011,.,.,5184,32445,32445,.,24721,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,1414,2909,2324,6646,1502,1612,2236,8117,14387,7579,9501,6536,4310,4265,1304
ACSSF,2019m1,nc,000,0090,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907,1743,1581,1874,2519,3597,1659,3126,1485,6605,3575,2753,4428,2373,4146,2532,8569,2322,5049,7041,1658,7112,11605,11605,.,.,.,.,13322,19613,27990,23391,30291,34945,11370,.,.,.,.,.,.,.,8110,9060,8993,1402,23196,93183,21957,11782,10440,35696,2831,11541,12457,46111,1333,4187,5190,3576,4003,4829,3385,3995,5217,4685,4958,2947,1602,4174,1797
ACSSF,2019m1,nc,000,0090,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,2816,2887,923,3268,1977,1034,1749,1278,1913,956,2064,1898,1356,2619,4146,6562,2416,3619,3411,2067,,,,,,,,6919,12074,25098,39758,5655,6486,21758,.,.,.,.,.,.,.,10472,6612,10337,11198,8974,14453,10110,10812,6761,17244,9170,22943,60169,8956,1508,3297,5579,993,2015,2395,1253,2794,3821,3707,1342,3039,8077,11649,2698
ACSSF,2019m1,nc,000,0090,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2894,5437,7555,7384,2193,5192,1878,4747,8556,7122,6559,4164,7178,1723,5262,6220,14398,15829,8528,22777,7352,358,.,.,.,12397,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5414,37277,.,182,.,.,.,7460,.,.,.,3560,2602,.,4766,7940,8210,7271,4493,11824,1701,3545,4394,6033,24893,12827,15953,20298,8041
ACSSF,2019m1,nc,000,0090,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3286,3405,3574,1282,1374,2548,2133,1904,2981,2128,1471,1111,2588,2966,3097,4884,6986,7573,3569,3571,1773,172295,.,.,.,.,.,.,22078,13406,25653,1130,43946,88474,49390,.,.,.,.,.,.,.,7140,3360,6663,71488,10190,9188,15390,9291,11081,13438,6448,16941,6330,17636,2600,5214,3610,1792,1089,2340,3084,2978,5361,4123,7079,8019,13394,2234,2679
ACSSF,2019m1,nc,000,0090,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974,1392,3136,989,1959,1538,891,2540,4910,5206,2938,3599,2166,978,1845,2936,3587,2164,2044,3109,1345,,,,,,,,6895,7686,12793,12947,8624,9031,5745,.,.,.,.,.,.,.,10063,9859,4573,14593,2982,13838,7906,5758,21293,13170,8793,7125,16740,14302,2801,2846,2388,2911,4084,3437,881,3825,6615,3590,7367,5263,5898,6540,2986
