ACSSF,2019m1,nc,000,0157,0000022,1728,1760,547,427,172,120,155,61,216,1369,353,420,879,897,764,608,1119,330,54,336,484,520,854,1502,815,787,290,108,216,216,216,1190,738,732,948,353,92,216,588,402,152,295,142,122,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000023,1600,1745,1131,935,384,487,362,216,216,1371,948,697,729,1094,844,445,743,411,770,388,843,735,752,1798,1397,1372,489,733,460,216,216,1294,1124,326,440,457,194,216,748,566,315,313,317,216,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000024,2243,2494,1024,878,816,329,349,243,89,1973,1044,873,944,1446,921,585,1377,393,285,345,738,828,1314,2618,1871,1798,749,435,217,215,78,2276,1814,1130,1121,627,235,180,971,726,340,435,401,319,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000025,1667,2036,1039,770,845,517,209,99,216,1986,1057,675,1003,1618,1489,542,1148,507,396,389,1023,675,1053,2281,1478,1481,711,274,330,205,216,1904,1204,745,800,1053,157,92,853,635,253,399,393,165,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000026,2711,3805,1546,1153,891,435,185,485,131,3031,1461,1711,1935,1840,953,767,1475,592,597,885,1035,1066,1302,4015,2651,2595,1231,1090,268,576,216,2718,1933,1665,1603,1271,433,152,1428,791,572,492,382,499,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000027,2664,3453,1362,1288,674,691,273,127,99,2871,1641,1039,1432,2043,1259,905,1688,513,640,823,1065,860,1557,3300,2109,1753,1295,1071,262,110,216,2787,2066,1376,1347,986,495,244,1153,736,538,812,683,269,344,2664,3453,2423,2280,222,519,96,216,592,1700,1616,185,216,216,216,261,2374,2321,159,84,54,216,449,1558,1506,95,212,216,216,343,1746,1744,216,216,216,216,44,3300,2901,1976,1129,2127,1085,1005,513,1731,1175,483,1166,651,273,545,1156,1020,350,391,365,277,96,569,316,53,111,112,216,467,409,409,128,127,216,216,216
ACSSF,2019m1,nc,000,0157,0000028,1244,1727,729,506,239,352,417,216,216,1359,785,807,720,933,621,578,617,265,491,463,467,468,712,1666,1236,846,487,651,216,391,216,1352,548,876,506,794,108,216,403,184,123,159,158,216,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000029,1578,2550,1047,836,658,390,410,58,112,1748,1023,707,1004,1154,957,716,1200,392,410,558,806,843,1065,2314,1351,1280,643,493,186,180,278,1808,1246,945,995,877,61,444,1043,602,499,571,527,451,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000030,3305,3805,1589,1271,774,491,356,130,216,3236,1483,1290,1910,2706,1311,897,1992,765,770,768,1202,1122,1695,4706,3041,2929,1052,1376,702,85,147,3389,2740,1884,1737,1555,599,875,1590,954,798,782,675,571,293,3305,3805,2244,2162,350,252,124,201,383,2033,2046,59,270,219,79,369,3019,2850,105,524,64,216,476,1613,1664,157,392,216,216,386,1760,1702,102,112,216,216,474,4706,4151,2747,1373,3075,1303,953,1334,2526,1503,1132,886,240,600,1037,1773,1249,450,1110,66,331,178,866,723,369,263,216,216,216,923,712,98,227,201,71,398
ACSSF,2019m1,nc,000,0157,0000031,1461,1917,896,730,495,250,199,125,216,1436,673,771,807,977,683,469,923,310,365,240,459,615,656,1918,1039,1016,296,86,114,216,216,1485,1117,807,623,668,356,65,691,211,218,157,293,489,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000032,1508,2221,1111,1000,522,266,211,216,216,1542,885,794,1265,1093,684,676,1113,785,604,646,869,836,754,1834,1353,1276,270,491,216,223,216,1712,1452,841,859,475,45,236,943,456,463,411,366,362,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000033,1701,1964,971,712,580,340,286,216,216,1492,1194,947,815,1276,832,684,1021,298,208,624,725,554,1142,1847,1284,1157,367,450,318,305,216,1378,1030,730,568,615,123,126,754,595,275,332,389,216,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000034,1982,2770,1255,1153,313,761,452,54,216,2374,1247,1219,1857,2195,1523,789,1164,765,343,682,1077,936,1031,2415,1384,1086,897,625,178,216,216,1724,1320,741,832,1000,477,77,1239,854,414,333,661,383,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000035,1246,1917,769,348,472,663,314,216,216,1650,817,582,832,1074,644,758,583,495,270,272,602,413,711,1859,883,586,562,264,324,216,216,1667,1127,533,898,838,274,72,510,354,177,132,103,216,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000036,4517,4907,2679,2042,1281,1004,613,598,140,4349,2549,2619,2821,3796,2079,1118,2228,1039,684,1113,1552,1404,1685,5150,3953,3452,1753,1422,737,216,216,4354,3670,2243,2230,1513,605,406,1877,1203,1021,1121,1080,185,301,4517,4907,4297,4052,315,658,621,472,224,3143,2963,149,189,454,364,656,4016,3894,411,547,302,298,382,2279,2165,286,211,77,545,537,2111,2057,90,216,65,216,158,5150,5447,3956,1815,3818,2425,2672,1068,2931,2178,799,1551,1098,910,576,2027,1395,642,745,581,472,786,583,550,114,280,80,216,216,455,438,86,122,216,144,216
ACSSF,2019m1,nc,000,0157,0000037,1339,1566,1010,818,626,409,547,216,216,1232,644,678,993,1107,778,675,875,585,148,586,989,861,717,1571,960,895,491,116,196,73,216,1147,868,376,574,444,86,216,893,567,187,475,619,142,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000038,1750,1748,892,678,262,591,363,216,216,1347,957,436,553,1043,940,410,771,591,95,626,738,639,672,1892,1278,1133,804,202,287,409,216,1768,1247,571,834,505,364,80,628,176,381,458,292,253,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000039,2499,2294,1220,1183,675,576,161,216,216,1853,1452,1022,1237,1615,1214,632,1606,561,533,1053,1234,743,1286,2839,2023,1962,597,379,147,216,216,2280,1795,874,1145,721,100,68,1490,1062,388,560,718,233,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0157,0000040,2606,2758,2037,1894,901,338,116,216,216,2033,913,930,1128,1524,821,662,965,211,149,561,885,356,1080,2514,2152,2355,1116,796,240,216,216,1757,1444,1061,1274,417,224,21,727,531,406,101,230,79,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
