ACSSF,2019m1,nc,000,0076,0000021,647,535,335,134,216,134,234,572,216,216,216,572,452,216,216,216,452,436,216,216,216,436,878,216,216,216,878,645,402,127,216,216,127,216,216,363,346,84,216,216,84,216,216,286,1110,304,92,216,100,280,216,939,448,216,216,216,216,216,216,448,1026,510,336,216,358,71,216,1030,333,721,235,116,121,212,174,212,212,680,1336,706,93,599,689,607,372,372,1238,1631,527,421,345,316,392,151,284,1529,1668,735,517,252,297,492,281,361,1566,2495,1342,805,891,1115,1126,567,776,2699,334,492,574,574,336,511,216,752,793,1338,1278,498,865,1362,1323,1044,893,534,1604,2160,2296,1219,1807,746,985,985,861,985,216,1217,1217,1305,1281,216,6216,13124,30745,13149,6378,10684,7954,647,1165,396,1006,1859,705,1816,2522,602,2318,2200,735,2179,3526,1500,3720
ACSSF,2019m1,nc,000,0076,0000022,881,109,271,35,216,35,272,771,325,216,325,787,561,73,67,73,564,292,216,216,216,292,822,216,216,216,822,838,2007,111,39,216,103,216,216,2011,1264,216,216,216,216,216,216,1264,647,17,216,216,17,216,17,637,810,110,216,110,216,216,216,805,1722,374,216,180,353,216,21,1652,342,1765,905,171,104,423,848,270,409,1537,2378,766,214,462,363,739,410,563,2043,1588,818,329,537,385,548,355,479,1228,2083,942,765,120,274,517,161,305,1814,3705,1773,869,902,1018,1152,760,987,3572,287,442,649,645,240,606,256,816,1053,2066,2144,759,448,1683,1622,1185,1395,501,1732,2795,2687,1736,2292,315,1155,1155,865,1155,216,1127,1118,1075,1104,202,1096,10144,6816,24062,1140,5477,4142,881,3207,929,3051,3566,857,3352,2018,823,1659,2470,951,2297,4939,1791,4719
ACSSF,2019m1,nc,000,0076,0000023,1723,739,234,216,216,216,234,751,216,216,216,751,625,216,216,216,625,499,216,216,216,499,1055,216,216,216,1055,814,728,216,216,216,216,216,216,728,742,30,216,216,30,216,216,744,1091,216,216,216,216,216,216,1091,574,75,216,216,75,216,216,547,1370,642,21,19,642,110,110,1544,1519,1148,416,156,254,190,335,319,320,1012,1982,759,292,207,284,711,497,585,1792,1839,898,296,360,519,757,94,573,1469,1478,605,278,144,358,469,237,329,1234,2657,1418,727,674,656,928,537,588,2714,1546,346,649,649,642,91,216,712,1205,1946,2051,1114,1667,1455,1349,1194,1009,582,2241,2321,2344,1390,1679,531,1081,1081,895,1081,216,1092,1092,1263,1092,216,2828,8524,9508,9218,2496,6374,3762,1723,1685,416,1610,2773,754,2594,2857,898,2462,1971,633,1777,3872,1543,3860
ACSSF,2019m1,nc,000,0076,0000024,3036,736,1126,378,212,173,947,1272,216,216,216,1272,1211,228,228,216,1168,1001,216,216,216,1001,1491,216,216,216,1491,680,1683,455,63,216,450,216,140,1627,2144,565,136,216,520,135,211,1918,1675,579,136,412,272,216,65,1543,2322,278,216,67,266,78,216,2219,2982,704,205,189,609,216,216,3080,2859,2156,1192,764,866,882,806,565,856,1828,2427,1198,481,481,826,931,573,871,2025,2801,1490,516,716,1030,894,317,562,2183,3667,1161,486,588,613,806,400,505,3087,5022,2196,1390,1194,1201,1256,841,978,5176,2884,983,1451,1459,486,1419,244,1676,1758,3479,3004,1035,3064,1964,2001,1851,1598,1041,3410,3737,3843,2530,2850,688,1527,1527,1446,1517,216,1508,1513,1501,1605,87,934,5436,5268,3766,978,894,1228,3036,3592,1394,3325,4537,1357,4163,4240,1764,3600,6016,1259,5401,7611,2154,7764
ACSSF,2019m1,nc,000,0076,0000025,699,196,517,216,216,216,517,542,216,216,216,542,522,216,216,216,522,1367,216,216,216,1367,1319,216,216,216,1319,649,958,234,29,216,231,216,54,891,2531,148,216,216,148,216,148,2534,1297,399,216,377,399,216,216,1229,805,107,216,216,107,216,216,786,2616,770,126,145,759,216,216,2503,556,1890,904,117,214,630,699,294,409,1567,3662,1764,207,837,1210,1243,274,785,3022,2624,955,380,455,640,782,212,538,2256,2496,1091,345,277,514,943,347,265,2103,5053,1735,729,587,1276,1325,486,1109,4501,435,835,911,911,211,898,216,1128,1412,3129,2818,955,999,2116,1954,1391,1731,1048,2191,3229,3854,2110,2675,686,1621,1621,967,1608,216,1785,1785,1448,1705,216,1675,3977,13972,10055,1268,2132,1179,699,2814,873,2457,5890,1787,5505,3374,990,3073,3299,1094,2966,7231,1960,6664
ACSSF,2019m1,nc,000,0076,0000026,3141,339,981,216,216,216,981,1339,650,650,216,1247,1436,216,216,216,1436,707,216,216,216,707,1905,216,216,216,1905,482,2014,68,216,216,68,216,216,2012,2038,816,216,444,674,216,216,1774,1989,216,216,216,216,216,216,1989,2315,407,181,216,254,216,216,2218,3288,533,216,357,533,128,328,3201,3081,3192,951,607,546,583,828,295,740,2761,2493,1228,190,378,993,1144,958,927,2203,2747,901,537,155,341,797,277,713,2548,4101,1231,467,446,598,856,494,640,3784,6955,2434,1729,1005,1229,2123,970,1263,7133,2907,1107,1383,1383,475,1310,216,1732,2657,3185,3907,1937,2854,2112,1997,1763,1670,885,3757,6303,6284,2440,4583,1182,1659,1634,1177,1616,194,2083,1848,2189,1786,653,2806,5390,11288,7685,2408,1318,2642,3141,4603,948,4314,4588,1760,3943,4770,901,4523,5947,1289,5746,9405,2472,9433
ACSSF,2019m1,nc,000,0076,0000027,1653,565,688,103,103,103,671,1042,216,216,216,1042,1780,216,216,216,1780,1241,216,216,216,1241,1710,216,216,216,1710,549,1835,110,216,216,110,216,110,1822,3211,216,216,216,216,216,216,3211,2373,1079,229,318,382,216,854,2188,3286,544,216,216,544,183,518,3040,4107,537,319,216,406,201,318,4031,1577,3250,1371,398,290,839,1170,686,758,2972,3070,1150,241,338,785,964,209,449,2667,4083,1468,491,403,992,1185,834,946,3508,4954,1370,429,402,586,1227,607,877,4293,7134,2254,1097,1107,2096,1525,1371,1746,6985,1009,1516,1282,1282,1088,708,216,1935,2668,4047,4093,1920,1792,2329,2186,1517,2026,991,3319,5177,5683,2701,4483,699,1754,1768,1372,1759,354,1796,1787,2034,1860,247,1064,3617,5756,6552,1259,3371,3025,1653,4753,1380,4520,5521,1150,5424,6688,1983,6044,8147,1634,7341,10447,2402,10120
ACSSF,2019m1,nc,000,0076,0000028,637,738,216,216,216,216,216,202,216,216,216,202,100,216,216,216,100,859,216,216,216,859,317,216,216,216,317,749,645,216,216,216,216,216,216,645,717,216,216,216,216,216,216,717,1545,297,219,129,146,216,216,1540,1341,325,325,216,216,216,216,1265,1455,318,318,216,147,216,216,1407,628,780,221,199,87,90,19,19,88,758,1478,923,300,326,430,610,450,596,1194,1544,719,273,462,522,712,410,577,1228,1984,986,347,395,235,753,661,708,1583,2749,932,575,349,368,716,331,539,2786,559,905,517,517,453,297,216,1028,1093,1643,1744,1083,1022,1485,1321,916,1267,523,1614,1884,1928,1136,1082,313,812,812,732,812,216,839,839,1021,921,216,3135,12978,22183,22486,3486,6800,3213,637,1301,221,1290,2011,923,1833,2789,872,2546,3163,1048,2649,3593,949,3623
ACSSF,2019m1,nc,000,0076,0000029,1425,669,603,159,159,216,591,1080,216,216,216,1080,1223,307,307,307,1209,843,216,216,216,843,1175,71,71,216,1176,674,1259,378,216,216,378,216,21,1149,1065,287,216,216,287,216,96,937,1574,316,216,216,316,216,105,1508,1577,242,216,216,242,242,242,1554,2244,559,169,164,431,305,423,2225,1341,1569,729,172,166,577,434,338,435,1129,1781,1170,525,278,844,817,398,806,1292,3168,1269,570,568,717,1024,439,873,2716,2788,1288,723,401,557,1020,443,679,2240,3547,1898,1060,921,993,1405,1026,1235,3676,1339,772,1061,1061,551,1028,216,1141,1511,2730,2960,925,1510,1904,1780,1298,1436,868,2118,3058,3065,2121,2790,607,1297,1297,1162,1300,216,1374,1374,1171,1378,216,3261,3302,4021,11119,3831,3317,1340,1425,2653,997,2037,2837,1200,2537,5051,1511,4599,3955,1341,3572,5448,1968,5568
ACSSF,2019m1,nc,000,0076,0000030,2273,723,1590,216,216,216,1590,1899,216,216,216,1899,1769,216,216,216,1769,1395,216,216,216,1395,2062,216,216,216,2062,840,2702,420,216,272,381,216,216,2649,2912,1317,216,130,1289,216,425,2536,2719,429,216,221,302,216,179,2632,1864,149,216,216,155,120,120,1847,3149,930,205,378,917,225,261,3033,2157,3676,1296,273,555,802,958,639,800,3026,5683,1654,734,797,1351,1437,851,1083,5347,5626,2032,703,555,1203,1257,894,1040,5072,4757,1299,360,350,707,1133,861,849,4458,7420,3319,1218,1064,1996,2509,1684,2229,7144,920,1348,1587,1578,1011,1398,104,2091,3120,4727,4124,2134,1714,3007,2878,2027,2557,743,3317,5990,6297,4020,5111,728,2116,2106,1757,2125,237,2201,2256,1954,2377,401,987,3414,6165,4723,1022,1537,3324,2273,5972,1424,5512,9074,2150,8597,8067,2140,7646,6325,1309,6009,10414,3567,9905
