ACSSF,2019e1,nc,000,0157,0000021,30674,22360,1613,845,31,203,534,0,0,12002,2607,1204,1898,3412,2130,751,8745,840,698,1598,1634,1408,2567,8314,3300,2055,1003,204,38,0,0,2810,821,608,650,266,22,443,2204,638,85,500,656,181,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000022,30599,21289,1231,626,284,120,168,33,0,11438,958,820,1974,3738,2558,1390,8620,490,46,577,1042,1879,4586,9310,1945,1516,357,72,0,0,0,5635,1117,1508,2070,863,77,0,1730,619,188,386,213,95,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000023,42221,29083,3848,1874,487,1187,300,0,0,14404,3391,1632,1685,3905,2984,807,10831,796,1288,886,3022,2086,2753,13138,6099,4261,585,922,331,0,0,5063,3204,478,714,515,152,0,1976,856,382,375,363,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000024,128135,64091,7769,3860,2460,699,445,251,54,36017,6006,3578,6225,13225,4739,2244,20305,776,409,938,3539,3928,10715,64044,28312,23059,3539,1205,261,201,47,30084,16275,5081,5660,2482,376,210,5648,2454,735,833,860,595,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000025,69938,49477,4669,2451,1234,709,198,77,0,27714,3867,1919,3848,10411,6058,1611,17094,948,490,805,3817,1886,9148,20461,7422,5777,864,303,324,154,0,9897,4215,1554,1851,2062,160,55,3142,1155,354,680,577,228,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000026,131140,71803,8809,4651,2791,695,154,437,81,42088,6234,6504,8349,14294,4487,2220,20906,1729,1532,2714,3884,3694,7353,59337,27348,21492,3239,1965,308,344,0,25604,12138,4054,5180,3568,574,90,6385,2112,1167,820,674,412,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000027,148151,91051,10126,5662,2159,1783,367,96,59,49601,7829,5360,6707,17335,8773,3597,31324,1748,1226,2878,7034,4779,13659,57100,18860,13155,3173,2226,241,65,0,30164,15299,5116,6417,2575,507,250,8076,2272,1339,1825,1723,332,585,148151,91051,23984,22252,205,610,78,0,839,11368,10981,149,0,0,0,238,24736,23461,197,73,32,0,973,13648,12792,57,251,0,0,548,17315,17288,0,0,0,0,27,57100,40354,11190,3949,17097,3177,4031,910,10468,4430,968,3388,582,466,634,4539,2712,429,666,385,295,52,904,416,30,92,70,0,296,835,577,132,126,0,0,0
ACSSF,2019e1,nc,000,0157,0000028,26720,19270,1725,880,325,260,260,0,0,11103,1704,1997,1751,3084,1510,1057,6442,426,719,511,1248,1122,2416,7450,2689,1642,287,472,0,288,0,4064,705,1574,683,1029,73,0,697,145,93,143,141,0,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000029,85705,55309,5958,2496,1554,999,780,36,93,31326,4813,3047,4409,10502,6007,2548,18025,991,994,1634,3406,2990,8010,30396,8600,6258,1218,632,214,107,171,16195,6991,2763,2954,2843,68,576,5601,1517,948,1216,988,738,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0157,0000030,206950,119636,9985,5341,2770,1225,542,107,0,70403,10696,6176,12104,24959,12932,3536,39248,2949,1973,3577,7423,7270,16056,87314,30525,23767,2719,2972,905,72,90,45709,22482,7682,8122,5224,1043,1156,11080,3450,2230,2526,1530,908,436,206950,119636,29905,28217,574,345,72,226,471,16906,15987,35,390,182,46,266,32924,30737,88,1207,74,0,818,20309,18961,162,463,0,0,723,19592,18796,106,93,0,0,597,87314,62330,19839,5990,25361,5352,3246,2542,13620,6197,2045,2684,252,1186,1256,7659,4232,489,2169,40,550,179,2023,1386,258,379,0,0,0,1682,987,58,189,121,86,241
