ACSSF,2019e1,nc,000,0060,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55042,7039,3299,1986,1313,0,3740,2870,470,400,11838,4843,3085,1474,284,6995,5680,901,414,11942,7881,7592,125,164,4061,4061,0,0,24223,14541,13557,355,629,9682,9003,73,606
ACSSF,2019e1,nc,000,0060,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0060,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67879,6602,4023,3168,804,51,2579,2232,273,74,18526,10393,8437,1411,545,8133,7367,537,229,27878,16736,16347,354,35,11142,10961,0,181,14873,8315,7672,109,534,6558,6290,162,106
ACSSF,2019e1,nc,000,0060,0000024,208611,18697,8857,6102,2201,79,453,22,9840,8258,950,205,427,0,56438,32015,28905,1607,552,909,42,24423,23301,577,378,167,0,81637,56354,49743,4769,982,595,265,25283,22514,1472,646,434,217,51839,37380,31764,2877,873,1389,477,14459,12192,816,603,537,311,208611,18697,8857,6102,2201,554,9840,8258,950,632,56438,32015,28905,1607,1503,24423,23301,577,545,81637,56354,49743,4769,1842,25283,22514,1472,1297,51839,37380,31764,2877,2739,14459,12192,816,1451
ACSSF,2019e1,nc,000,0060,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120125,17252,5634,4123,1016,495,11618,10087,405,1126,42438,22835,20223,1801,811,19603,18245,1099,259,37697,24139,23088,314,737,13558,13262,77,219,22738,15573,14960,249,364,7165,6640,525,0
ACSSF,2019e1,nc,000,0060,0000026,223247,24014,12375,5162,6417,373,224,199,11639,5998,4071,25,820,725,41630,22890,19035,2464,311,609,471,18740,17149,1308,87,0,196,47572,32857,29574,2582,163,144,394,14715,13910,135,140,161,369,110031,85665,75436,2325,3220,3346,1338,24366,20912,719,1081,1229,425,223247,24014,12375,5162,6417,796,11639,5998,4071,1570,41630,22890,19035,2464,1391,18740,17149,1308,283,47572,32857,29574,2582,701,14715,13910,135,670,110031,85665,75436,2325,7904,24366,20912,719,2735
ACSSF,2019e1,nc,000,0060,0000027,258434,28975,14750,7699,6724,119,152,56,14225,10633,3314,0,278,0,68338,36023,32471,2980,379,68,125,32315,30661,886,396,322,50,75246,50321,46817,3134,119,116,135,24925,22983,1143,433,366,0,85875,62435,55901,2816,1178,2242,298,23440,21298,562,517,977,86,258434,28975,14750,7699,6724,327,14225,10633,3314,278,68338,36023,32471,2980,572,32315,30661,886,768,75246,50321,46817,3134,370,24925,22983,1143,799,85875,62435,55901,2816,3718,23440,21298,562,1580
ACSSF,2019e1,nc,000,0060,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0060,0000029,157145,23147,9375,8244,1105,26,0,0,13772,13189,498,44,41,0,46675,26340,23289,2653,292,106,0,20335,19139,1151,45,0,0,50475,34891,32383,1681,470,174,183,15584,14385,500,305,394,0,36848,29272,26489,756,855,1058,114,7576,7346,116,51,63,0,157145,23147,9375,8244,1105,26,13772,13189,498,85,46675,26340,23289,2653,398,20335,19139,1151,45,50475,34891,32383,1681,827,15584,14385,500,699,36848,29272,26489,756,2027,7576,7346,116,114
ACSSF,2019e1,nc,000,0060,0000030,359317,41594,19161,10670,4871,432,2157,1031,22433,18904,1163,555,1157,654,80865,45841,38535,3760,1159,1265,1122,35024,31868,814,946,982,414,103795,66852,59526,3440,1534,1268,1084,36943,34217,1264,1005,146,311,133063,98634,86368,3647,3847,3959,813,34429,31510,875,467,957,620,359317,41594,19161,10670,4871,3620,22433,18904,1163,2366,80865,45841,38535,3760,3546,35024,31868,814,2342,103795,66852,59526,3440,3886,36943,34217,1264,1462,133063,98634,86368,3647,8619,34429,31510,875,2044
