ACSSF,2019m1,nc,000,0107,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5372,7619,16716,21095,20576,25804,53187,25763,118901,20032,31020,43773,34670,31393,18089,7656,41457,874,6647,23479,19768,.,933,1923,2120,6911,4602,11593,7702,.,17575,33226,7654,10965,26042,8526,2149,1329,1254,947,718,599,604,378,547,194,876,154,504,330,619,376,245,291,677,68,415,408,52,496,429,457,1024,900,351,1493,11,1142,1121,984,737,598,331,1886,1667,1025,786,628,337,254,216,218,722,116,68,687,226,1034,767,567,872,354,106,106,216,579,646,213,1421,923,1118,637,216,563,276,808,805,216,242
ACSSF,2019m1,nc,000,0107,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593,6949,17509,63107,15591,28717,22373,19125,106605,18488,14122,25875,18489,19429,24248,11625,6019,6144,10349,6882,3195,11594,818,16210,992,1337,6210,1724,8081,.,3610,13421,7035,1779,22390,19481,2328,1621,1220,869,829,230,896,779,521,193,504,310,65,340,316,459,210,383,906,216,317,214,239,764,716,95,824,783,291,970,216,779,585,1340,1133,629,778,1492,1425,569,345,427,176,216,176,216,922,236,234,677,323,764,520,481,1342,821,198,198,216,649,618,520,1492,568,1233,293,216,293,216,1450,749,548,1236
ACSSF,2019m1,nc,000,0107,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1929,7215,15045,20691,8614,18377,77499,6690,86353,12273,8076,.,12222,29521,18056,21951,20146,2515,18426,23781,.,43077,2536,14387,14740,5903,7049,12129,13201,.,15998,13741,11182,11548,35005,24374,2411,1814,1436,726,599,426,769,345,607,209,576,424,68,268,232,589,558,152,1161,80,364,11,364,879,761,273,961,821,609,1226,108,1112,690,1300,812,719,719,1807,1511,744,653,314,280,138,214,138,812,305,630,489,71,994,727,704,1521,513,238,233,55,910,846,388,1384,1128,849,216,216,216,216,833,761,301,126
ACSSF,2019m1,nc,000,0107,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717,1737,7210,7135,16139,11894,19089,50473,23285,1904,2762,20325,4634,12368,2111,5026,6546,2116,4256,6162,7212,6768,3233,3690,3441,1786,4589,2579,3436,18361,3540,9271,3921,3172,6144,2534,3271,2654,1694,1117,921,561,857,643,481,270,801,347,283,484,355,675,495,469,1795,240,844,470,683,1091,829,615,1628,1414,810,1769,254,1263,1441,1668,988,1061,1086,2804,2163,1089,771,868,399,331,127,204,1518,552,354,1256,462,1409,1025,744,1990,919,428,174,390,1275,632,912,1992,1460,1609,269,216,159,214,1171,893,512,644
ACSSF,2019m1,nc,000,0107,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211,2867,5858,5258,5042,12944,23765,10313,51824,2205,5712,36676,3084,31731,11266,12683,12546,2735,6480,20905,13820,23162,10475,7798,21257,1714,8505,1887,6462,3648,8300,3938,5230,1366,6048,6284,3416,2023,1766,1391,1305,356,740,307,698,88,687,363,140,500,239,302,279,207,1201,131,564,522,288,699,495,275,1346,808,943,1526,106,1339,1032,2326,1759,1200,949,2417,1394,952,719,708,338,158,216,185,1192,347,369,973,270,715,521,499,1821,1144,103,103,216,1142,920,853,1774,831,1603,528,82,278,420,1233,977,529,459
ACSSF,2019m1,nc,000,0107,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423,2914,5218,19359,12896,3284,7540,9712,16404,6250,6415,98856,9012,10348,7904,3796,3489,1850,3747,20411,23401,33686,6340,4932,10731,4679,4986,3753,3114,57628,3345,13118,985,5642,3611,18661,4617,3332,3007,2408,1872,1510,1703,1205,891,941,1689,577,464,1551,613,1100,904,546,2005,748,309,192,226,1122,1510,355,2121,1603,1810,2327,142,1959,1324,1835,1094,1093,765,3151,3568,2511,1779,1947,1366,541,295,1049,2569,1086,971,1969,457,1982,1552,1240,2496,1291,303,255,166,1595,841,1572,2773,1917,2138,852,216,351,763,1760,775,418,1228
ACSSF,2019m1,nc,000,0107,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592,2002,8401,4933,3844,8077,8474,8465,12284,3739,7572,47949,3608,15783,8554,6416,13367,4154,2787,25478,2450,1089,1899,1741,3994,1842,6610,2445,5853,14332,4389,5219,5104,8899,8272,7833,4732,2816,2246,1835,1654,784,1011,744,598,406,1094,575,460,715,803,776,687,415,2037,342,1119,777,946,1382,1170,493,2289,1781,1408,2034,196,1728,1200,2403,1420,1593,1295,3361,3175,2229,1645,1350,742,602,276,252,1509,872,353,1401,599,2164,2101,791,3044,1769,374,262,285,1644,1027,893,2802,1757,2161,889,131,428,669,1477,1329,687,582
ACSSF,2019m1,nc,000,0107,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3303,4871,27005,26904,43856,7536,14277,145192,1693,6707,18982,.,8573,47592,1966,26701,1403,4972,5735,3438,1971,41579,21343,7157,35623,8102,11285,9284,7828,.,8689,39129,8214,10222,16814,6745,1882,1549,1024,881,776,313,475,242,235,336,450,324,216,192,195,320,141,281,729,216,375,248,276,208,633,142,964,960,266,1401,96,1209,760,1243,976,698,654,1336,1243,968,869,394,238,142,115,147,759,352,77,722,216,533,270,486,1374,1284,351,341,114,371,162,903,1200,889,752,208,216,208,216,557,567,216,163
ACSSF,2019m1,nc,000,0107,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555,4305,6426,8880,9607,16268,6807,16427,39901,4220,4730,42533,4416,5883,5690,11358,6838,2584,2607,25723,7905,13642,4152,4245,7044,999,4158,944,5454,10580,5701,13360,1438,4258,9221,5656,2897,2166,1748,1372,1161,834,861,457,600,261,674,332,146,500,251,466,410,168,1693,557,675,450,544,876,835,544,1216,1071,730,1580,90,1228,1320,1558,1142,841,905,2068,1646,1110,904,801,480,357,181,299,1206,679,513,939,258,858,798,591,1706,1161,420,401,126,877,670,688,1808,996,1461,476,211,218,366,1384,902,886,823
ACSSF,2019m1,nc,000,0107,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,2950,3697,5120,8733,10324,11204,8835,33232,1361,2376,17390,2236,8333,6252,16347,10950,1077,3317,6055,17638,33777,3218,2837,1315,1784,5233,1679,1604,6989,1924,5410,1890,3150,4041,2708,6326,4152,3356,2539,2309,1293,1538,912,1349,313,1714,887,311,1179,608,941,713,649,2768,434,822,717,316,2313,1044,1252,2387,1717,1690,2327,370,1808,1586,3300,2107,1738,2267,4344,3602,2009,1705,1261,953,768,317,447,2660,1080,564,2027,1027,2056,1888,1362,2775,1671,596,489,390,1594,1311,891,3841,2502,2688,631,216,591,288,2345,2029,869,960
