ACSSF,2019e1,nc,000,0056,0000028,10770,4665,1127,280,0,249,88,510,2778,1278,113,936,133,318,760,299,68,0,0,393,6105,1725,663,250,99,181,532,2843,906,349,753,453,382,1537,119,110,238,670,400,11667,789,476,156,668,1328,364,72,1061,2465,1525,402,1012,270,276,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8723,3281,741,1687,981,2033,,,,,,
ACSSF,2019e1,nc,000,0056,0000029,36848,16388,4555,1545,187,1529,154,1140,8092,1880,612,2770,348,2482,3741,968,401,1395,417,560,20460,7123,1977,1044,1365,515,2222,10160,1955,1205,2835,2271,1894,3177,425,675,276,1332,469,39356,1050,1517,675,2212,1796,1710,509,4443,10480,5443,1588,1869,1150,1157,3757,5707,1110,1200,1126,627,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27785,6927,2586,7215,4368,6689,,,,,,
ACSSF,2019e1,nc,000,0056,0000030,133063,58381,17245,6887,620,4516,273,4949,28626,12814,1803,7863,545,5601,12510,5428,437,3056,937,2652,74682,25141,8219,4147,3705,2389,6681,36646,7946,5302,8034,4517,10847,12895,2287,1119,1740,4645,3104,147959,6564,7002,5004,7919,11267,9321,1671,15528,30694,14579,5891,6339,7296,7258,11626,28586,6617,4252,6990,3239,7488,,,,,,,8293,4237,852,1861,135,1208,,,,,,,,,,,,,1916,673,258,281,279,425,88410,29715,7641,18325,9326,23403,5411,2401,365,1076,361,1208
ACSSF,2019e1,nc,000,0056,0000031,21234,10202,3903,1261,192,821,194,1435,5269,1978,178,1974,98,1041,1030,330,31,281,179,209,11032,4665,789,1171,876,355,1474,5079,1144,425,878,1716,916,1288,240,67,50,471,460,22395,532,1237,481,1067,1551,788,261,2364,5048,3079,606,942,1023,789,2627,3589,1196,137,442,995,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14646,3592,1733,3200,1772,4349,2289,670,157,1103,163,196
ACSSF,2019e1,nc,000,0056,0000032,26538,12143,1925,443,43,811,168,460,4592,1830,427,1043,169,1123,5626,2142,260,1581,425,1218,14395,2750,905,411,272,349,813,6339,1464,778,1359,1172,1566,5306,594,704,480,1829,1699,28745,842,1215,558,1564,2011,1521,617,2988,5735,4147,1692,1643,1254,885,2073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24800,7093,2365,4743,3887,6712,,,,,,
ACSSF,2019e1,nc,000,0056,0000033,38956,18585,5389,2531,247,806,185,1620,10265,4661,649,2990,465,1500,2931,926,123,798,611,473,20371,6435,1213,1191,1497,885,1649,10942,2397,1567,2416,1806,2756,2994,634,288,386,1246,440,41923,1930,2818,926,2082,1568,3841,216,4569,9354,5198,1843,1429,989,2136,3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32774,9162,3571,7685,4755,7601,,,,,,
ACSSF,2019e1,nc,000,0056,0000034,33450,13917,3828,1436,303,1349,37,703,7552,2838,760,1061,171,2722,2537,1230,136,352,234,585,19533,7643,1898,1050,1304,1482,1909,10247,3488,1405,1732,1834,1788,1643,335,339,138,371,460,36281,1697,2115,1427,1861,3889,1311,58,4658,6470,4462,680,1460,1755,337,4101,5559,1457,1069,1188,499,1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26112,9211,2760,4481,3422,6238,,,,,,
ACSSF,2019e1,nc,000,0056,0000035,16124,6688,1811,303,221,659,41,587,3305,915,286,1483,84,537,1572,876,64,319,189,124,9436,2618,603,451,162,290,1112,4709,1277,831,1272,673,656,2109,200,78,134,1011,686,17353,330,1313,281,360,1303,1050,0,2169,4069,2460,288,1005,861,716,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14642,3535,1836,3647,2288,3336,,,,,,
ACSSF,2019e1,nc,000,0056,0000036,343595,162048,62462,29748,2291,16288,1114,13021,77927,30049,5491,24961,2603,14823,21659,8531,1481,5462,1685,4500,181547,75106,22535,8632,18764,5738,19437,83456,22228,6948,23908,9873,20499,22985,5450,3591,2323,6239,5382,370059,21300,16994,8832,17337,33834,27930,3119,30824,95457,28701,15195,15930,13801,18819,21986,72523,20685,7057,21136,6750,16895,,,,,,,26987,17995,2206,3388,615,2783,,,,,,,4347,1633,78,2029,136,471,6390,3117,197,1394,0,1682,222508,71887,17405,60760,18755,53701,14998,4739,1581,4809,1097,2772
ACSSF,2019e1,nc,000,0056,0000037,28798,13639,4059,1888,164,909,11,1087,4639,1706,232,1607,14,1080,4941,2728,205,722,125,1161,15159,4903,1177,1062,514,230,1920,5702,2205,913,1330,354,900,4554,708,455,520,1222,1649,30450,1501,1876,1993,1203,2185,1871,364,3383,5712,2069,1282,2211,549,1586,2665,2693,673,202,828,108,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23970,8487,2335,4716,1785,6647,,,,,,
