ACSSF,2019e1,nc,000,0005,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382295,331467,214586,98996,1615,8813,58,531,6868,91,6777,50828,37883,1927,338,71,58,8151,2400,1941,459,382295,331467,50828,382295,331467,50828,32716,4690,759,548,7109,3377,1629,382295,331467,214586,98996,1615,8813,58,531,6868,91,6777,50828
ACSSF,2019e1,nc,000,0005,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69685,63432,6253,,,,,,,,,,,69685,63432,43839,16363,230,204,0,163,2633,0,2633,6253
ACSSF,2019e1,nc,000,0005,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224529,207514,159220,38740,863,3455,380,490,4366,101,4265,17015,12184,85,145,0,72,3871,658,551,107,224529,207514,17015,224529,207514,17015,9268,1119,1808,575,2549,1214,482,224529,207514,159220,38740,863,3455,380,490,4366,101,4265,17015
ACSSF,2019e1,nc,000,0005,0000030,537174,491982,45192,23150,5548,417,853,8751,104,2464,1850,197,1693,2443,0,3619,476,144,88,1941,357,0,348,69,196,0,2854,1212,48,0,1594,537174,491982,263370,180902,2661,27018,112,2477,15442,366,15076,45192,24943,3100,480,0,61,13478,3130,1612,1518,537174,491982,45192,537174,491982,45192,23150,5548,417,853,8751,3619,2854,537174,491982,263370,180902,2661,27018,112,2477,15442,366,15076,45192
ACSSF,2019e1,nc,000,0005,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135976,117799,82422,28615,745,1729,0,201,4087,0,4087,18177,8560,1586,43,731,1039,5608,610,445,165,135976,117799,18177,135976,117799,18177,12220,2800,1066,574,947,0,570,135976,117799,82422,28615,745,1729,0,201,4087,0,4087,18177
ACSSF,2019e1,nc,000,0005,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117417,105280,12137,,,,,,,,,,,117417,105280,97427,4223,253,1098,0,189,2090,0,2090,12137
ACSSF,2019e1,nc,000,0005,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181806,167203,14603,181806,167203,14603,7713,1253,31,636,2780,1309,881,181806,167203,136913,19787,266,5033,0,0,5204,172,5032,14603
ACSSF,2019e1,nc,000,0005,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209339,179864,139688,34614,766,2028,0,37,2731,163,2568,29475,18455,309,0,0,0,9732,979,719,260,209339,179864,29475,209339,179864,29475,15137,3980,389,199,8739,722,309,209339,179864,139688,34614,766,2028,0,37,2731,163,2568,29475
ACSSF,2019e1,nc,000,0005,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86111,79631,6480,,,,,,,,,,,86111,79631,72747,5138,195,753,60,78,660,0,660,6480
ACSSF,2019e1,nc,000,0005,0000036,1110356,957431,152925,58259,13174,3326,10898,46573,1401,8008,21211,883,614,14456,0,17354,124,0,149,6245,4153,0,3538,909,2236,0,3341,386,62,0,2893,1110356,957431,510585,346090,2235,63387,379,2608,32147,611,31536,152925,69079,5924,1574,241,0,72724,3383,2065,1318,1110356,957431,152925,1110356,957431,152925,58259,13174,3326,10898,46573,17354,3341,1110356,957431,510585,346090,2235,63387,379,2608,32147,611,31536,152925
ACSSF,2019e1,nc,000,0005,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100880,93724,7156,,,,,,,,,,,100880,93724,77564,12068,731,1454,175,132,1600,89,1511,7156
ACSSF,2019e1,nc,000,0005,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94298,87358,6940,,,,,,,,,,,94298,87358,46140,38663,301,170,0,0,2084,0,2084,6940
ACSSF,2019e1,nc,000,0005,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234473,220863,13610,234473,220863,13610,6174,646,294,310,4072,261,1853,234473,220863,181007,29216,805,2674,161,543,6457,0,6457,13610
ACSSF,2019e1,nc,000,0005,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197938,172417,130061,27342,981,3872,22,90,10049,397,9652,25521,19052,1513,172,239,0,1580,2965,1098,1867,197938,172417,25521,197938,172417,25521,14452,6334,194,1080,1327,1377,757,197938,172417,130061,27342,981,3872,22,90,10049,397,9652,25521
ACSSF,2019e1,nc,000,0005,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148476,135661,12815,148476,135661,12815,5201,1986,460,36,1482,2398,1252,148476,135661,103182,16769,296,12048,9,516,2841,215,2626,12815
ACSSF,2019e1,nc,000,0005,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180742,169012,11730,180742,169012,11730,8961,972,429,0,470,214,684,180742,169012,97120,61174,366,2936,217,579,6620,604,6016,11730
ACSSF,2019e1,nc,000,0005,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143667,126443,17224,143667,126443,17224,12730,1471,1275,31,1443,0,274,143667,126443,112661,7885,570,1477,0,0,3850,0,3850,17224
ACSSF,2019e1,nc,000,0005,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130625,118577,12048,130625,118577,12048,8895,481,25,0,2156,46,445,130625,118577,32012,30354,52654,628,59,696,2174,41,2133,12048
ACSSF,2019e1,nc,000,0005,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91010,85250,5760,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0005,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142088,128688,13400,142088,128688,13400,7057,700,119,687,3456,414,967,142088,128688,100777,21955,176,1169,0,451,4160,444,3716,13400
ACSSF,2019e1,nc,000,0005,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67029,63804,3225,,,,,,,,,,,67029,63804,55506,6660,54,383,0,115,1086,0,1086,3225
