ACSSF,2019e1,nc,000,0094,0000021,30674,3094,517,2577,27580,15532,12048,30674,3094,2170,680,1490,125,1365,0,924,0,0,0,0,924,27580,6686,4914,1772,648,1124,0,20894,11694,856,386,470,8344,30674,3094,1619,1475,27580,1174,26406,24118,1376,22742,4175,1204,2971,,,,692,0,692,,,,,,,,,,23045,994,22051,1579,561,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66857,22356,72244,30674,3094,877,2217,27580,7921,19659,30674,3094,27580
ACSSF,2019e1,nc,000,0094,0000022,30599,4413,1692,2721,26186,13289,12897,30599,4413,2429,821,1608,652,956,0,1984,249,559,10,549,1176,26186,6037,3892,2145,439,1706,0,20149,10004,2132,956,1176,8013,30599,4413,2439,1974,26186,3984,22202,23695,3330,20365,6268,1015,5253,,,,,,,,,,,,,,,,23398,3092,20306,472,242,230,21410,3237,1070,325,244,501,316,185,0,0,0,2167,662,54,568,40,0,1505,422,842,241,0,18173,13896,2845,4221,4720,4542,178,2110,1410,700,4277,1395,345,490,560,0,2882,518,1761,488,115,44987,17533,51238,30599,4413,1957,2456,26186,8180,18006,30599,4413,26186
ACSSF,2019e1,nc,000,0094,0000023,42221,4799,1278,3521,37422,16210,21212,42221,4799,2954,748,1933,577,1356,273,1845,157,264,62,202,1424,37422,10208,8043,1695,490,1205,470,27214,13974,1688,502,1186,11552,42221,4799,2567,2232,37422,3041,34381,30905,1961,28944,9304,2558,6746,,,,,,,,,,,,,,,,28613,1463,27150,2844,498,2346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52832,20285,59641,42221,4799,2491,2308,37422,8802,28620,42221,4799,37422
ACSSF,2019e1,nc,000,0094,0000024,128135,22770,7010,15760,105365,33490,71875,128135,22770,11078,3213,7519,654,6865,346,11692,1421,2946,1208,1738,7325,105365,29426,18570,10492,2373,8119,364,75939,27992,6212,1105,5107,41735,128135,22770,9915,12855,105365,11646,93719,63549,6578,56971,50885,13847,37038,2084,497,1587,3575,170,3405,,,,3297,625,2672,4381,1053,3328,55795,5260,50535,12683,2454,10229,78365,15099,4634,595,1341,2429,2187,242,269,151,118,10465,1862,534,995,268,65,8603,1769,4940,1441,453,63266,46562,6258,13189,22897,21596,1301,4218,3896,322,16704,3478,181,2039,1018,240,13226,1890,7415,3447,474,46292,23436,50866,128135,22770,9568,13202,105365,27727,77638,128135,22770,105365
ACSSF,2019e1,nc,000,0094,0000025,69938,11309,3280,8029,58629,27074,31555,69938,11309,6146,1998,3873,767,3106,275,5163,1476,1204,170,1034,2483,58629,15979,11343,4363,1353,3010,273,42650,21779,3001,1380,1621,17870,69938,11309,6278,5031,58629,5245,53384,59443,8626,50817,8469,1992,6477,,,,,,,,,,,,,,,,56683,8431,48252,2984,242,2742,49037,8551,3474,824,1805,565,231,334,280,49,231,5077,937,317,562,58,0,4140,1831,1563,746,0,40486,33122,6867,7973,15121,13567,1554,3161,2928,233,7364,2733,57,1879,620,177,4631,924,2642,936,129,53473,25842,60205,69938,11309,5750,5559,58629,15459,43170,69938,11309,58629
ACSSF,2019e1,nc,000,0094,0000026,131140,13444,4901,8543,117696,38605,79091,131140,13444,6526,1307,5119,231,4888,100,6918,1508,1819,669,1150,3591,117696,29602,19956,9504,3228,6276,142,88094,28444,7634,1976,5658,52016,131140,13444,6905,6539,117696,9698,107998,73666,4753,68913,46364,8068,38296,,,,4931,46,4885,,,,2736,347,2389,3075,230,2845,64948,3041,61907,11770,2059,9711,75291,9753,2815,488,1035,1090,1090,0,202,202,0,6938,900,521,379,0,0,6038,627,4946,431,34,65538,48400,6371,10641,26744,25743,1001,4644,4272,372,17138,5204,126,2427,2476,175,11934,640,5821,4239,1234,65317,19866,72355,131140,13444,6841,6603,117696,16825,100871,131140,13444,117696
ACSSF,2019e1,nc,000,0094,0000027,148151,17219,6115,11104,130932,51516,79416,148151,17219,8260,2336,5899,554,5345,25,8959,1004,1456,470,986,6499,130932,34908,21711,13197,3655,9542,0,96024,38607,6627,1643,4984,50790,148151,17219,8951,8268,130932,13442,117490,99338,7309,92029,41130,9002,32128,596,193,403,2452,99,2353,,,,2231,173,2058,2346,443,1903,89714,6071,83643,13040,1635,11405,90837,10695,3340,414,1713,481,320,161,732,732,0,7355,1024,624,400,0,0,6331,632,4175,1301,223,80142,60318,9200,13761,29269,27748,1521,8088,7504,584,19824,5298,602,3640,866,190,14526,2058,8299,3128,1041,52017,20513,57907,148151,17219,7871,9348,130932,27510,103422,148151,17219,130932
ACSSF,2019e1,nc,000,0094,0000028,26720,3177,1516,1661,23543,9866,13677,26720,3177,1374,324,1050,279,771,0,1803,229,434,58,376,1140,23543,8104,4917,3187,428,2759,0,15439,8983,1319,422,897,5137,26720,3177,1672,1505,23543,832,22711,18442,1261,17181,7093,1916,5177,,,,,,,,,,,,,,,,17462,1133,16329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57099,21951,63297,26720,3177,1033,2144,23543,6300,17243,26720,3177,23543
ACSSF,2019e1,nc,000,0094,0000029,85705,12511,5079,7432,73194,30977,42217,85705,12511,4936,1572,3364,869,2495,0,7575,1716,1428,293,1135,4431,73194,19905,13844,5772,1847,3925,289,53289,22418,5754,2077,3677,25117,85705,12511,4690,7821,73194,5750,67444,67515,8377,59138,14747,3739,11008,,,,,,,,,,1094,68,1026,1066,208,858,64538,8201,56337,4350,212,4138,55868,8080,3288,848,1190,1048,897,151,202,176,26,4792,1162,321,686,113,42,3630,1196,1621,422,391,47788,36262,4455,8549,18745,17454,1291,4513,4025,488,11526,3924,226,2327,1176,195,7602,1472,3693,1698,739,56595,23517,63241,85705,12511,7337,5174,73194,19686,53508,85705,12511,73194
ACSSF,2019e1,nc,000,0094,0000030,206950,26738,7683,19055,180212,70562,109650,206950,26738,13914,2724,11126,944,10182,64,12824,1414,3058,1012,2046,8352,180212,51305,33653,17017,5614,11403,635,128907,49475,13856,4106,9750,65576,206950,26738,13318,13420,180212,18885,161327,118069,6276,111793,70281,18104,52177,,,,7869,832,7037,,,,5244,868,4376,4804,519,4285,110898,5404,105494,12333,1721,10612,132323,18322,4138,598,1989,1284,1182,102,267,267,0,14184,1956,619,1292,45,0,12228,3383,7098,1287,460,114001,83128,13597,21047,39978,37488,2490,8506,7611,895,30873,9720,1232,5545,2557,386,21153,2148,11772,6502,731,55328,21692,62356,206950,26738,11356,15382,180212,35353,144859,206950,26738,180212
