ACSSF,2019e1,nc,000,0107,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40073,65735,74567,68683,85422,76623,98944,52123,111575,30489,47148,14855,20518,35675,70268,71616,42348,16694,25385,27210,26996,.,16067,16148,16373,40256,40922,35893,30275,.,30219,40827,25118,21866,40859,12393,34096,18144,7210,3325,2101,1224,1769,726,819,224,1635,152,495,309,679,481,242,239,1918,40,382,351,31,640,510,346,2732,2388,344,3820,8,1858,1954,2464,1123,882,459,15952,7739,3617,2030,1587,436,275,0,161,1469,97,40,1087,245,2217,1580,637,2192,530,62,62,0,589,761,250,4078,1457,2621,563,0,394,169,1380,1145,0,235
ACSSF,2019e1,nc,000,0107,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28109,44181,57810,88015,48429,47993,21960,67229,36681,32190,50053,21974,38094,5285,45712,57124,25418,15430,17452,41836,40784,56193,11182,20691,11314,26916,26042,27164,32308,.,31172,42411,28547,26707,34526,27356,40293,21450,6552,2596,2152,444,2101,991,878,232,1394,400,40,645,309,461,245,216,2825,0,491,178,313,1334,922,78,1966,1519,447,3634,0,2345,1289,6473,3508,1430,1535,18843,5311,1172,521,651,163,0,163,0,2278,351,220,1460,247,1698,918,780,4347,1452,168,168,0,1192,850,685,4824,1250,3574,295,0,295,0,4066,1468,648,1950
ACSSF,2019e1,nc,000,0107,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31100,52968,57425,47009,65955,66793,94963,66375,69662,39203,21915,.,35978,50211,61183,72578,42492,14380,7468,23855,2499,24961,12832,16991,14473,23623,24479,22146,36240,.,40585,32658,36060,32314,51541,36363,41496,20542,5543,2146,1371,775,1504,433,905,166,1078,471,42,357,208,815,689,126,3911,48,349,7,342,2096,1169,249,2880,1968,912,3955,88,2305,1562,4253,1602,1568,1083,20954,7850,2297,1620,677,441,104,185,152,2455,460,442,1501,52,2657,1450,1207,5530,659,207,175,32,2585,1459,620,5779,3224,2555,0,0,0,0,1795,1380,307,108
ACSSF,2019e1,nc,000,0107,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29624,46540,51587,50935,56417,76067,71367,75149,88451,36751,36960,42798,39321,16981,51104,61205,38095,17921,25333,37152,21560,43870,13108,23096,13195,24320,20362,26491,30402,20270,27833,36371,29056,31792,31617,20796,130444,60218,14608,6791,5232,1559,2739,1383,934,422,3364,664,330,1752,618,1714,1028,686,10964,300,2274,960,1314,4262,3064,1064,8819,6226,2593,12565,302,6796,5467,13262,4796,4176,4290,70226,25195,6663,4073,2590,734,451,124,159,10963,1814,580,7605,964,6835,3962,2873,17365,3875,994,264,730,6632,2333,3531,19914,7885,12029,499,0,204,295,7253,3982,1229,2042
ACSSF,2019e1,nc,000,0107,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36126,51003,56393,62942,52989,71832,75337,71429,120090,41321,39071,44967,41680,22126,51603,59363,39928,22813,29052,30182,20843,46037,16315,17297,20226,31219,31733,31038,40138,8668,33370,48804,33086,36396,31328,24624,74673,40928,10283,5630,4739,891,2157,488,1566,103,1942,544,115,1003,280,554,376,178,3349,109,1050,703,347,1099,833,258,5409,3203,2206,8802,132,4881,3789,13085,6242,4096,2747,33745,12136,4219,2475,1744,449,162,176,111,4703,546,516,3322,319,2765,1733,1032,7827,2524,59,59,0,2556,1181,1507,9400,3110,6290,662,45,226,391,3720,2424,608,688
ACSSF,2019e1,nc,000,0107,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41052,60743,65557,73025,60544,71442,81033,71853,61939,43607,50154,84745,34815,50833,66552,71638,38361,21902,28338,36616,21484,51489,16757,28453,17078,30379,19139,32056,36243,24858,35408,45134,25583,26894,26314,14955,165940,80322,40470,15737,11007,4730,11672,6523,2643,2506,9029,1377,845,5164,1643,4032,3291,741,9068,920,446,270,176,3350,3862,490,11444,6499,4945,11470,135,7837,3498,7870,3010,3278,1582,85618,48686,16468,9351,7117,5449,1414,390,3645,15749,2971,1230,10251,1297,11020,8181,2839,14276,2711,352,257,95,4058,1927,5228,17568,7159,10409,1096,0,392,704,3992,1720,523,1749
ACSSF,2019e1,nc,000,0107,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35389,52620,60595,65508,49078,66674,75487,61851,54368,40210,37301,103817,40869,29597,55430,61575,27197,17232,21068,42804,18469,61248,11070,20705,11968,31320,25245,32603,33641,22137,30552,40965,28701,26537,36284,21483,177326,89616,30885,16396,12775,3621,5354,2709,1892,753,6003,1306,615,2530,1552,3132,2485,647,12911,420,2857,1365,1492,4343,4142,1149,14431,9387,5044,14137,179,8689,5269,17252,7150,5798,4304,87710,39462,14213,8949,5264,2319,1565,280,474,12333,2341,580,7736,1676,10597,8208,2389,17534,5941,628,316,312,5550,2656,2759,23835,9530,14305,1148,131,507,510,5731,3754,1037,940
ACSSF,2019e1,nc,000,0107,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35721,52315,82432,86650,61331,57050,57245,74945,56152,50307,46103,.,50292,62485,41324,56176,41078,27247,26776,39499,39504,34875,11816,30266,15351,23250,17273,26377,26939,.,26434,40375,38071,40714,59523,15679,33272,17619,4238,2294,1950,344,876,362,219,295,764,379,0,216,169,304,68,236,2049,0,502,204,298,216,1250,81,3220,2881,339,4226,56,2648,1522,3886,1648,1277,961,15653,5874,2384,1881,503,281,118,68,95,2297,381,42,1874,0,912,338,574,4477,2255,249,184,65,447,181,1345,4290,2001,2289,111,0,111,0,901,764,0,137
ACSSF,2019e1,nc,000,0107,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36291,54350,65102,66599,61109,61242,56911,81224,51150,43249,39666,62300,40947,52191,52804,59757,32008,24164,27104,42887,31174,65363,16705,29595,16628,30813,30231,31048,35441,6981,30836,39140,31125,35634,30520,25243,106380,54600,14513,8388,6171,2217,2936,1061,1573,302,2221,576,227,965,453,968,733,235,8594,598,2262,997,1265,2369,2544,821,7964,5426,2538,11143,93,5598,5452,12386,6072,3216,3098,51780,19772,6980,4462,2518,1279,648,252,379,6711,1851,572,3792,496,4802,3145,1657,10558,3558,602,528,74,3227,1313,1858,14472,5391,9081,626,159,162,305,6352,3017,1594,1741
ACSSF,2019e1,nc,000,0107,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35097,53385,62151,66238,54447,75160,62112,82107,56500,41529,40988,70055,41540,35445,61199,77083,48201,16680,22829,36993,35077,58234,13430,22305,10449,30636,25780,32135,36311,15857,36152,37384,25983,24261,25283,27374,255934,127505,43992,20361,14799,5562,10370,4797,4997,576,9551,2196,730,4737,1888,3710,2775,935,17973,640,2256,1653,603,8478,3796,2803,17325,10620,6705,17470,494,8906,8070,30745,10527,8799,11419,128429,55137,17305,10381,6924,3030,1661,539,830,21623,3062,1094,14268,3199,13179,9388,3791,21977,5973,694,400,294,7383,3717,4210,37863,18016,19847,1220,0,794,426,12232,8043,1858,2331
