ACSSF,2019m1,nc,000,0010,0000021,1948,568,423,423,216,216,216,190,620,616,226,574,1448,488,502,209,216,209,982,1184,707,671,170,0,321,305,374,352,185,336,149,482,504,222,480,321,305,461,413,216,413,149,218,279,239,384,1.0,1.1,1.5,1.9,1.9,3.5,4.9,7.2,5.3,17.4,10.2,9.5,4.7,10.7,5.0,1803,1032,184,1017,216,1017,1298,216,1298,414,1332,1088,216,1088,645,787,700,362,747,453,698,,,,,,,,,,,,,,,,,,,,,,0,1259,586,659,352,887,1197,883,1259,587,686,471,886,1441,1235,1803,1032,184,1017,1298,216,1298,1088,216,1088,700,362,747
ACSSF,2019m1,nc,000,0010,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.5,2.3,2.0,2.0,2.1,8.9,18.8,21.6,28.8,40.1,23.5,9.7,0.3,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,546,509,504,98,263,579,631,546,509,538,146,263,753,699,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0010,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.8,2.6,1.0,1.0,2.0,10.3,10.2,19.7,23.1,26.9,30.8,13.0,15.4,19.9,1961,772,441,501,171,458,1430,293,1323,809,751,1067,501,923,461,757,781,480,612,590,56,,,,,,,,,,,,,,,,,,,,,,0,1328,1067,1067,40,706,987,883,1328,1067,1088,171,706,1125,926,1961,772,441,501,1430,293,1323,1067,501,923,781,480,612
ACSSF,2019m1,nc,000,0010,0000024,215,162,106,126,134,216,134,111,610,595,435,448,187,216,8,8,8,216,187,711,659,478,528,0,414,414,511,296,216,296,0,747,747,621,463,414,414,456,292,216,292,0,940,940,599,755,0.2,0.3,0.3,0.2,0.4,0.4,3.5,4.2,3.5,4.0,6.1,3.6,3.0,6.0,3.7,2707,2315,1358,1939,397,1932,1731,771,1461,1047,1075,1103,716,874,783,448,1557,1010,1194,1082,513,,,,,,,,,,,,,,,,,,,,,,0,708,715,748,536,153,1044,1044,708,692,703,564,133,1484,1479,2707,2315,1358,1939,1731,771,1461,1103,716,874,1557,1010,1194
ACSSF,2019m1,nc,000,0010,0000025,216,216,216,216,216,216,216,216,371,371,206,311,216,216,216,216,216,216,216,433,433,436,121,0,575,530,493,113,113,216,254,424,478,488,635,576,530,530,216,216,216,254,756,775,135,789,0.7,0.9,1.2,1.0,1.6,2.3,2.9,6.1,4.2,8.3,10.6,5.6,4.8,5.6,17.3,1498,636,216,636,216,636,1524,364,1536,419,1488,1200,122,1197,705,983,1277,456,1171,1017,592,,,,,,,,,,,,,,,,,,,,,,0,953,879,862,113,561,798,757,953,860,860,216,431,911,959,1498,636,216,636,1524,364,1536,1200,122,1197,1277,456,1171
ACSSF,2019m1,nc,000,0010,0000026,126,126,216,334,334,334,216,126,1084,1086,871,608,216,216,96,96,96,216,216,1180,1180,1070,762,0,475,476,769,878,226,926,0,1222,1222,734,1280,475,475,728,498,64,496,0,949,949,1050,1061,0.3,0.3,0.5,0.4,0.6,0.7,0.9,1.6,2.6,4.0,5.9,4.0,1.6,2.5,0.9,4119,3285,723,3235,288,3194,2510,513,2504,2372,1591,1785,442,1769,1252,1202,1690,701,1682,1305,765,,,,,,,,,,,,,,,,,,,,,,0,886,808,1082,1086,406,2291,2171,886,782,934,530,358,2113,2093,4119,3285,723,3235,2510,513,2504,1785,442,1769,1690,701,1682
ACSSF,2019m1,nc,000,0010,0000027,395,217,182,182,216,216,216,130,626,620,578,307,273,176,381,330,330,216,112,545,535,467,243,0,0,0,757,757,105,736,0,1293,1293,1073,1430,0,0,604,604,229,531,0,1246,1246,899,1007,0.5,0.6,0.6,0.5,0.6,0.9,0.7,0.8,1.0,4.5,6.5,2.1,2.0,1.8,2.0,3232,2594,199,2617,749,2345,2024,368,1998,1466,1699,1682,595,1639,979,1481,1685,703,1692,1140,910,,,,,,,,,,,,,,,,,,,,,,0,406,527,969,748,562,1676,1536,406,232,937,918,323,1608,1570,3232,2594,199,2617,2024,368,1998,1682,595,1639,1685,703,1692
ACSSF,2019m1,nc,000,0010,0000028,107,358,347,347,216,216,216,107,468,470,310,364,347,347,347,216,216,216,216,596,596,491,328,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.7,2.1,1.2,1.9,3.5,6.9,9.6,8.2,28.0,11.8,37.5,4.1,6.9,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1117,1048,1048,216,581,947,804,1117,1087,1087,216,584,1003,1086,1346,712,216,712,1251,77,1238,1066,175,1064,916,796,417
ACSSF,2019m1,nc,000,0010,0000029,539,320,216,216,216,216,216,320,647,569,403,235,232,216,216,216,216,216,232,469,402,373,137,0,547,548,538,105,216,105,0,644,643,513,709,547,547,794,458,450,185,0,635,636,522,630,0.5,0.8,0.6,0.5,1.0,0.7,3.8,4.3,4.6,4.5,4.1,6.1,3.1,4.7,2.3,1705,1395,967,1460,127,1436,1190,216,1190,942,649,788,242,763,721,456,956,517,809,780,302,,,,,,,,,,,,,,,,,,,,,,0,1042,922,905,258,401,1129,1037,1042,922,1134,479,401,937,885,1705,1395,967,1460,1190,216,1190,788,242,763,956,517,809
ACSSF,2019m1,nc,000,0010,0000030,1135,852,755,778,146,216,146,421,1093,962,820,650,741,484,493,174,11,175,318,1189,1080,864,570,0,584,584,642,425,306,325,0,1193,1193,1009,1453,584,584,571,274,119,243,0,893,893,862,1134,0.4,0.5,0.6,0.6,0.7,0.8,1.8,3.3,1.9,1.5,1.9,4.6,2.0,2.2,2.7,5889,4282,1016,4181,1298,4174,4421,1110,4043,3312,2012,2110,398,2085,1704,1044,2409,907,2150,2130,838,,,,,,,,,,,,,,,,,,,,,,0,962,739,1760,1687,788,2702,2680,962,827,1379,1206,344,2510,2425,5889,4282,1016,4181,4421,1110,4043,2110,398,2085,2409,907,2150
