ACSSF,2019e1,nc,000,0007,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92712,4721,830,1601,743,1019,1924,24005,3393,6124,535,27423,325,1001,23472,11094,207,1535,5544,163,282,5902,5758,266,1310,1732,502,90,1609,1238
ACSSF,2019e1,nc,000,0007,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29551,542,31,806,46,12,1079,6022,694,2081,224,7938,332,259,5638,3545,28,212,1435,30,732,1165,2054,144,407,1319,0,0,272,759
ACSSF,2019e1,nc,000,0007,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28851,988,48,541,239,338,881,9221,170,1779,271,10928,53,580,10585,2364,106,664,1069,41,201,1840,1990,50,0,618,225,182,1247,110
ACSSF,2019e1,nc,000,0007,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42840,1167,71,389,407,173,1327,9120,433,3221,1276,18840,564,411,13924,6513,583,709,2588,167,211,3088,2004,283,370,883,122,252,1124,213
ACSSF,2019e1,nc,000,0007,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42892,955,633,1087,0,74,224,12839,363,2787,384,11118,251,273,11648,4727,0,389,2296,0,1197,3119,2613,234,551,1467,255,73,701,34
ACSSF,2019e1,nc,000,0007,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18557,1258,67,54,0,208,988,5079,558,1322,990,8246,182,192,6353,1458,0,203,623,317,219,466,2094,87,0,657,68,167,137,0
ACSSF,2019e1,nc,000,0007,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222783,8541,1467,5212,1632,634,4524,55001,2517,12959,1222,72389,2574,2084,59919,28412,1148,4354,14293,1212,3673,10641,16547,823,4948,5875,1412,1438,5939,2266
ACSSF,2019e1,nc,000,0007,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25459,1211,84,718,932,285,380,5740,1129,1744,150,7685,28,1070,7034,3966,0,344,2016,102,169,1445,1666,181,98,932,218,503,881,46
ACSSF,2019e1,nc,000,0007,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58627,2813,810,1417,141,401,756,15053,1659,3336,514,19216,901,698,17041,10473,312,1825,5232,517,601,3410,5008,346,161,1605,435,667,1477,189
ACSSF,2019e1,nc,000,0007,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62746,1520,436,268,966,0,2812,14544,1457,2949,747,16908,273,962,17435,9954,0,718,2581,490,393,2935,3692,186,325,959,0,217,2148,661
ACSSF,2019e1,nc,000,0007,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40533,2499,57,1664,439,612,552,11877,401,2840,603,12245,138,38,10346,3486,119,890,3467,110,1257,2408,2076,272,125,1602,101,40,1200,407
ACSSF,2019e1,nc,000,0007,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25135,2379,0,947,0,30,207,7521,1070,1567,110,5471,451,389,6342,1920,135,481,1123,0,131,1451,1766,100,927,428,190,0,766,557
ACSSF,2019e1,nc,000,0007,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28854,1479,160,590,59,330,1181,4040,500,1561,0,14075,73,166,8493,3502,0,268,503,115,623,3288,1497,44,383,165,49,0,445,175
ACSSF,2019e1,nc,000,0007,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0007,0000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
