ACSSF,2019m1,nc,000,0094,0000021,947,1231,320,1229,1582,1192,1473,947,1231,1124,519,1058,174,1049,216,635,216,216,216,216,635,1582,1234,1053,991,408,956,216,1725,1483,528,435,297,1506,947,1231,904,940,1582,720,1584,1300,717,1331,1034,1002,1090,,,,216,216,216,,,,,,,,,,1227,626,1266,538,388,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5884,24725,12752,947,1231,662,1156,1582,1171,1630,947,1231,1582
ACSSF,2019m1,nc,000,0094,0000022,1728,876,583,759,1696,1242,1763,1728,876,688,439,692,546,503,216,595,198,374,18,381,485,1696,1165,904,806,388,776,216,1540,1162,839,592,568,1332,1728,876,785,703,1696,1186,1540,1618,826,1576,1091,605,984,,,,,,,,,,,,,,,,1635,785,1567,279,287,117,1958,813,504,316,213,340,290,158,216,216,216,805,546,63,539,71,216,633,348,586,278,216,1785,1418,665,950,1068,1026,141,681,562,489,1154,716,306,365,544,216,950,396,834,334,151,3403,5661,3172,1728,876,696,722,1696,1349,1736,1728,876,1696
ACSSF,2019m1,nc,000,0094,0000023,1600,1525,545,1399,2010,1121,1915,1600,1525,1387,527,1149,628,808,408,651,158,217,87,172,575,2010,1587,1486,725,416,615,516,1929,1795,698,344,651,1756,1600,1525,893,1026,2010,1086,1937,1373,889,1680,1014,1051,1076,,,,,,,,,,,,,,,,1246,595,1294,418,607,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6314,9642,4078,1600,1525,902,1204,2010,1251,1855,1600,1525,2010
ACSSF,2019m1,nc,000,0094,0000024,2243,1871,1023,1764,2740,1650,2390,2243,1871,1355,717,1030,360,922,259,1382,740,803,564,546,1190,2740,2013,1891,1255,713,956,301,2679,1840,1128,509,956,2532,2243,1871,1298,1465,2740,1494,2628,1833,1048,2111,1698,1515,2023,595,195,576,738,185,710,,,,840,383,755,1091,417,928,1708,919,2050,1071,786,1106,2849,1472,894,321,473,758,739,244,195,136,139,1128,600,327,592,189,105,1016,534,841,495,315,2647,2373,992,1594,2293,2161,566,976,934,236,1738,842,192,667,484,240,1367,651,998,893,350,1707,2490,2808,2243,1871,1370,1411,2740,1917,3013,2243,1871,2740
ACSSF,2019m1,nc,000,0094,0000025,1667,2351,1222,2028,2482,1756,2321,1667,2351,1834,921,1478,723,1181,392,1478,850,727,164,750,827,2482,1789,1640,1262,684,1082,234,2443,2068,870,729,509,2095,1667,2351,1878,1367,2482,1383,2532,1592,1787,2253,946,928,1019,,,,,,,,,,,,,,,,1449,1790,2186,494,320,567,2252,1999,1198,600,998,520,187,477,305,81,298,1641,748,424,591,97,216,1425,1020,911,514,216,2439,2349,1088,1587,1957,1752,718,820,790,223,1420,1099,94,1007,375,301,1172,622,992,584,158,5916,4579,3736,1667,2351,1572,1913,2482,1988,2426,1667,2351,2482
ACSSF,2019m1,nc,000,0094,0000026,2711,2131,1145,1907,3231,2239,3240,2711,2131,1429,635,1349,216,1332,165,1755,1106,834,464,706,1140,3231,3599,2791,2037,1345,1712,158,3645,2226,1504,757,1313,3585,2711,2131,1715,1799,3231,1717,3353,2334,1357,2675,2079,1815,2226,,,,1007,79,999,,,,905,431,895,979,284,918,1961,1060,2250,1064,828,1497,4104,1940,1280,495,641,976,976,216,236,236,216,1599,507,397,318,216,216,1532,534,1343,334,58,4120,3488,1062,1726,2524,2550,518,1907,1902,263,2200,1447,152,887,1159,195,1941,299,1334,1332,841,3614,8323,3841,2711,2131,1860,1399,3231,2406,3422,2711,2131,3231
ACSSF,2019m1,nc,000,0094,0000027,2664,2488,1219,2371,2990,1872,2808,2664,2488,1915,850,1745,408,1730,43,1628,638,639,438,446,1341,2990,2928,1722,2743,1326,2248,216,3498,2362,1178,571,1193,3154,2664,2488,1984,1612,2990,2216,3282,2572,1408,2832,2264,1850,2468,341,246,256,444,115,425,,,,728,218,714,706,291,617,2282,1113,2567,1198,790,1382,3864,2129,1101,466,927,298,232,189,486,486,216,1809,593,499,327,216,216,1789,397,1562,736,262,3539,2814,1062,1500,2454,2376,587,1603,1647,477,2814,1419,462,1299,488,201,2401,827,2272,940,876,2610,2229,3375,2664,2488,1596,1946,2990,2594,3785,2664,2488,2990
ACSSF,2019m1,nc,000,0094,0000028,1244,1153,578,877,1344,873,1333,1244,1153,830,303,754,436,645,216,702,269,369,101,362,547,1344,1259,1109,1112,450,989,216,1477,1251,643,292,568,1311,1244,1153,941,622,1344,513,1474,1168,514,1146,1052,940,1159,,,,,,,,,,,,,,,,1020,470,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8109,5567,7461,1244,1153,470,1016,1344,1413,1671,1244,1153,1344
ACSSF,2019m1,nc,000,0094,0000029,1578,1472,905,1275,1865,1477,2005,1578,1472,1027,530,934,475,799,216,1213,739,498,294,393,979,1865,1879,1761,1205,849,993,273,2031,1881,1196,700,899,2287,1578,1472,1068,1201,1865,1091,1827,1682,1368,1908,1185,1016,1167,,,,,,,,,,526,80,516,492,209,395,1668,1376,1823,550,132,542,2476,1242,888,456,491,591,520,243,179,176,44,1024,545,326,423,107,73,872,604,587,269,418,2475,2321,699,1251,1986,1895,564,1020,956,332,1540,1127,198,865,606,217,1187,736,930,529,396,2954,4643,3704,1578,1472,1170,1122,1865,1843,2281,1578,1472,1865
ACSSF,2019m1,nc,000,0094,0000030,3305,2560,1446,2431,4266,2516,4463,3305,2560,1976,962,1995,580,1877,111,2363,843,1239,599,1032,1702,4266,3880,2813,3000,1930,2161,538,4077,2938,2267,1476,1722,3823,3305,2560,2040,2418,4266,2506,4503,2673,1554,3158,2592,1974,3048,,,,875,529,928,,,,1358,585,1344,1551,567,1470,2566,1432,3044,1189,707,1398,3909,2469,1317,373,997,781,779,160,204,204,216,2258,843,550,649,74,216,1980,1285,1644,660,356,4456,3599,1357,2420,2991,2870,863,1868,1833,507,3656,2358,839,1796,1104,295,2545,779,2108,1524,495,2852,2741,2871,3305,2560,2001,2117,4266,2749,4617,3305,2560,4266
