ACSSF,2019e1,nc,000,0176,0000021,73947,63012,47865,47865,43789,36260,16148,4076,0,0,0,0,0,15147,7451,5540,3921,2215,1810,1619,1911,1020,550,809,891,7696,7476,7208,5378,3301,268,220,165,165,0,55,10935,9268,8153,7655,6115,5517,498,1115,955,714,520,160,1667,1341,745,950,326,4531,2643,416,416,0,2227,1602,625,1888,885,885,0,1003,970,33,4531,2643,416,416,0,2227,1602,625,1888,885,779,106,1003,891,112,73947,63012,47865,43789,4076,15147,7451,4941,2510,7696,7373,323,10935,9951,984
ACSSF,2019e1,nc,000,0176,0000022,97697,85187,55731,54773,49565,36592,21304,5208,958,741,95,721,217,29456,8199,7032,5560,2256,3721,1472,1167,1069,585,484,98,21257,19927,16230,6263,10617,3697,1330,661,441,276,669,12510,9189,8229,7626,4643,4909,603,960,960,739,659,0,3321,2960,1885,1616,361,11134,5861,2970,2970,0,2891,2351,540,5273,1699,1411,288,3574,3324,250,11134,5861,2970,2720,250,2891,2226,665,5273,1699,1111,588,3574,1994,1580,97697,85187,55731,50306,5425,29456,8199,6629,1570,21257,16891,4366,12510,11546,964
ACSSF,2019e1,nc,000,0176,0000023,94643,78616,64558,64247,58509,49834,21127,5738,311,311,189,122,0,14058,4472,3757,2341,1564,1024,1416,715,650,650,0,65,9586,9186,8055,4380,4874,1131,400,132,48,84,268,16027,13262,11216,10013,6749,5824,1203,2046,1713,1356,754,333,2765,2293,1277,1615,472,9109,4053,876,514,362,3177,2330,847,5056,1625,1537,88,3431,3053,378,9109,4053,876,514,362,3177,2099,1078,5056,1625,1537,88,3431,2728,703,94643,78616,64558,58820,5738,14058,4472,2991,1481,9586,8187,1399,16027,14019,2008
ACSSF,2019e1,nc,000,0176,0000024,302742,247717,154163,152799,140254,114419,53253,12545,1364,1153,712,614,211,93554,17270,15707,13493,8020,7544,2214,1563,1299,465,834,264,76284,72506,64029,32331,38719,8477,3778,2503,1779,907,1275,55025,44351,38353,33174,23714,19108,5179,5998,4771,3925,1447,1227,10674,7672,4676,3549,3002,31092,14288,4298,3656,642,9990,6785,3205,16804,5544,4592,952,11260,9689,1571,31092,14288,4298,2892,1406,9990,5648,4342,16804,5544,3088,2456,11260,7828,3432,302742,247717,154163,141407,12756,93554,17270,14792,2478,76284,66532,9752,55025,45617,9408
ACSSF,2019e1,nc,000,0176,0000025,166167,139533,105460,104999,95261,72164,35117,9738,461,327,270,57,134,34073,9481,8730,7264,3771,3918,1466,751,398,255,143,353,24592,22421,20254,8411,12780,2167,2171,1340,534,857,831,26634,20901,16436,14454,9307,8323,1982,4465,3547,2958,919,918,5733,4808,2911,2131,925,12070,6856,1038,966,72,5818,4131,1687,5214,1487,1412,75,3727,3030,697,12070,6856,1038,899,139,5818,3944,1874,5214,1487,987,500,3727,2393,1334,166167,139533,105460,95588,9872,34073,9481,7662,1819,24592,21594,2998,26634,22809,3825
ACSSF,2019e1,nc,000,0176,0000026,316143,233547,157077,156045,140650,115221,43628,15395,1032,841,652,189,191,76470,18932,16605,11314,7079,4830,5291,2327,571,571,0,1756,57538,54914,45128,24888,24031,9786,2624,1240,1184,56,1384,82596,55765,43110,40803,32361,16557,2307,12655,11139,10778,403,1516,26831,23884,21910,2420,2947,36101,17389,7224,7224,0,10165,6665,3500,18712,10854,10312,542,7858,5812,2046,36101,17389,7224,7147,77,10165,6604,3561,18712,10854,9726,1128,7858,4666,3192,316143,233547,157077,141491,15586,76470,18932,11885,7047,57538,46368,11170,82596,75826,6770
ACSSF,2019e1,nc,000,0176,0000027,379183,302729,203055,200915,183886,151660,56643,17029,2140,1523,704,1174,617,99674,20942,18494,15372,8961,7920,3122,2448,1843,1148,807,605,78732,75280,60081,28930,34824,15199,3452,2003,1618,771,1449,76454,57172,49454,44818,32659,26641,4636,7718,7027,6338,2197,691,19282,16173,14590,2753,3109,34880,16525,7093,6526,567,9432,7024,2408,18355,9053,8163,890,9302,7078,2224,34880,16525,7093,5883,1210,9432,6079,3353,18355,9053,7722,1331,9302,4962,4340,379183,302729,203055,185409,17646,99674,20942,17215,3727,78732,62084,16648,76454,68018,8436
ACSSF,2019e1,nc,000,0176,0000028,68848,60234,41950,41197,39057,32876,13073,2140,753,753,753,0,0,18284,3341,2710,2222,1574,959,488,631,324,324,0,307,14943,13453,11509,8054,4020,1944,1490,935,710,225,555,8614,6277,5076,4743,3467,2910,333,1201,852,519,333,349,2337,1986,1698,633,351,3806,2424,1052,1041,11,1372,1144,228,1382,684,684,0,698,698,0,3806,2424,1052,336,716,1372,1144,228,1382,684,684,0,698,619,79,68848,60234,41950,39810,2140,18284,3341,2546,795,14943,12444,2499,8614,7581,1033
ACSSF,2019e1,nc,000,0176,0000029,221771,183689,127355,126293,114645,89294,37424,11648,1062,1062,330,823,0,56334,17799,15056,12763,7714,6002,2293,2743,1772,510,1285,971,38535,36359,31495,13985,20126,4864,2176,1198,786,487,978,38082,29604,23355,21859,14259,13734,1496,6249,5192,4138,1698,1057,8478,6719,5020,2101,1759,17507,8639,2833,2833,0,5806,3949,1857,8868,3098,2954,144,5770,4318,1452,17507,8639,2833,2724,109,5806,3347,2459,8868,3098,2849,249,5770,2715,3055,221771,183689,127355,115707,11648,56334,17799,14535,3264,38535,32693,5842,38082,33770,4312
ACSSF,2019e1,nc,000,0176,0000030,532763,418862,275904,273361,253759,204326,79984,19602,2543,1646,751,985,897,142958,35235,31756,26366,17085,12360,5390,3479,2974,2211,763,505,107723,102396,88131,44507,52230,14265,5327,3437,2024,1413,1890,113901,74493,61062,55931,40628,26616,5131,13431,10708,8224,2962,2723,39408,33084,26056,9583,6324,55793,26994,11797,10179,1618,15197,10460,4737,28799,15186,14380,806,13613,10500,3113,55793,26994,11797,8846,2951,15197,9033,6164,28799,15186,12220,2966,13613,8977,4636,532763,418862,275904,255405,20499,142958,35235,29340,5895,107723,91568,16155,113901,99723,14178
