ACSSF,2019e1,nc,000,0116,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0116,0000022,40293,294,3329,8366,479,4893,3396,198,732,2950,7914,4472,1414,1856,11863,281,767,1310,0,748,167,116,479,1334,4273,1059,242,1087,7172,13,0,50,0,395,129,45,0,1221,1708,2623,667,321,6790,0,0,766,199,2904,315,0,135,138,1619,98,179,437,3929,0,2459,690,112,0,220,37,74,0,166,0,160,11,10539,0,103,5550,168,846,2565,0,44,257,148,692,166,0
ACSSF,2019e1,nc,000,0116,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0116,0000024,130444,566,9925,10999,1991,17772,6737,1666,4152,12255,32471,15868,6595,9447,39803,366,1644,1564,99,1436,635,675,1531,4755,19806,2001,1429,3862,28329,0,0,390,0,1202,401,0,313,2638,7195,10261,2838,3091,28733,0,719,799,931,10955,1561,450,1377,2478,3871,3053,991,1548,13064,200,6881,786,197,671,559,432,748,742,660,233,543,412,20515,0,681,7460,764,3508,3581,109,183,1642,939,320,794,534
ACSSF,2019e1,nc,000,0116,0000025,74673,355,6544,14302,1971,7004,5737,1523,3230,6529,15142,5339,5275,1722,22419,79,509,3731,26,649,622,310,1153,2975,9374,1249,958,784,11176,99,0,0,0,568,0,314,0,1431,3133,3345,1939,347,14809,0,227,1750,1337,3893,1535,212,1752,684,1708,337,902,472,9464,177,4704,979,315,361,421,654,142,362,207,290,815,37,16805,0,1104,7842,293,1533,3159,33,183,1077,720,118,661,82
ACSSF,2019e1,nc,000,0116,0000026,165940,331,9913,10518,3274,15053,4863,1946,8351,22365,59396,14556,10377,4997,89156,78,2179,4959,768,1774,274,1418,5160,16029,45845,3671,3419,3582,23344,74,0,48,0,722,0,128,379,3378,5839,8524,3981,271,29012,44,447,1034,1588,8974,1491,287,2812,2239,6099,2102,1206,689,12566,135,7068,836,291,289,526,0,0,376,1279,0,1311,455,11862,0,219,3641,627,3294,2572,113,0,343,334,259,460,0
ACSSF,2019e1,nc,000,0116,0000027,177326,525,12807,20755,3315,23868,8665,1480,12680,16735,47877,15150,8644,4825,70347,137,2666,6964,812,3651,790,1066,7196,8349,30217,3503,3029,1967,30445,0,0,71,0,1798,0,0,159,4579,9878,8713,2959,2288,38266,0,1317,1780,1592,13752,1787,303,5171,2292,6951,2277,646,398,15285,310,8349,2114,204,757,1509,111,154,389,212,0,1066,110,22983,78,475,9826,707,3910,4579,0,0,1126,619,657,944,62
ACSSF,2019e1,nc,000,0116,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0116,0000029,106380,406,8666,17809,2845,10852,7510,1909,6050,9121,22629,8140,6006,4437,34285,20,1642,4505,493,506,1233,1297,2966,4163,13374,1307,1452,1327,19152,125,223,272,21,457,44,37,110,2154,5835,5256,2360,2258,22436,0,287,1641,1394,7829,1592,139,2260,1753,2706,1242,777,816,11769,220,6060,1799,95,310,1037,409,714,338,185,0,602,0,18738,41,454,9592,842,1750,3604,27,0,713,529,335,815,36
ACSSF,2019e1,nc,000,0116,0000030,255934,1197,14461,32002,9760,29583,15086,4852,18117,24362,62535,27889,9443,6647,99129,172,2615,10089,2734,4458,2196,2130,9744,11884,43070,4803,2132,3102,39950,419,211,297,55,799,292,0,259,5099,10490,16132,4427,1470,55188,112,856,1985,4109,17072,3320,1856,7214,5003,6758,5067,827,1009,18690,494,9903,1574,619,864,1059,461,592,263,356,568,1861,76,42977,0,876,18057,2243,6390,8219,405,308,2113,1861,1319,196,990
ACSSF,2019e1,nc,000,0116,0000031,53320,619,6590,6464,938,5498,2738,759,1816,4323,11091,5830,1734,4920,19050,144,1661,1618,46,331,117,358,650,2526,7697,1361,466,2075,8383,196,0,371,0,482,0,0,0,691,2307,2557,539,1240,10627,56,191,620,225,3258,577,275,1017,743,603,1692,224,1146,6803,204,4452,476,51,28,197,0,149,153,342,57,342,352,8457,19,286,3379,616,1399,1847,126,0,210,142,163,163,107
ACSSF,2019e1,nc,000,0116,0000032,55279,609,5550,6997,1164,8835,1590,693,3034,5623,9958,5968,3540,1718,19361,46,1020,2366,373,1248,191,375,1694,2256,6640,1340,659,1153,10546,116,0,69,0,528,91,0,0,1638,2359,3766,1735,244,10670,0,324,596,375,4269,429,196,1072,1366,497,727,593,226,6147,447,3688,386,261,228,186,122,145,61,90,0,438,95,8555,0,518,3580,155,2562,693,0,123,302,372,135,115,0
ACSSF,2019e1,nc,000,0116,0000033,92550,747,6345,17624,2746,13124,4805,1167,3879,9380,19241,7296,5023,1173,34364,597,2334,4523,538,2591,781,833,1933,4831,12322,1643,1035,403,12055,0,0,164,0,544,47,69,0,1852,3869,3834,1301,375,21441,65,364,1910,1760,7809,790,216,1873,1975,2709,1116,596,258,8666,85,3447,1498,179,425,540,49,36,249,310,529,1245,74,16024,0,200,9529,269,1755,2647,0,37,473,31,174,846,63
ACSSF,2019e1,nc,000,0116,0000034,101502,700,13101,10290,3308,12030,4435,2027,5269,9158,20304,8981,5039,6860,33036,146,2061,2367,238,656,904,1324,1905,4709,13630,939,527,3630,16858,0,73,47,0,751,99,181,0,1641,3690,5988,1836,2552,23405,0,685,1283,1400,7838,555,351,3144,1856,2848,1818,1014,613,13912,554,9592,703,121,392,1341,115,116,128,136,0,649,65,14291,0,690,5890,1549,2393,1536,56,104,824,0,236,1013,0
