ACSSF,2019e1,nc,000,0008,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74470,60546,40143,20403,13924,2504,11420,74470,4166,32,518,389,308,438,10103,3713,2942,358,7089,399,323,6259,3272,252,596,1763,224,872,963,1659,123,0,721,140,150,449,223,13924,74470,60546,40143,20403,13924
ACSSF,2019e1,nc,000,0008,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97947,81363,68079,13284,16584,3585,12999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97947,81363,68079,13284,16584
ACSSF,2019e1,nc,000,0008,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102139,88292,67670,20622,13847,1513,12334,102139,9396,920,1064,97,81,419,13005,2865,3219,852,10391,244,42,10481,3752,0,466,2142,843,259,916,2622,80,544,725,155,221,621,587,13847,102139,88292,67670,20622,13847
ACSSF,2019e1,nc,000,0008,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335509,282772,214086,68686,52737,5363,47374,335509,16276,1282,2573,340,894,1578,24949,7336,5173,1122,26461,1240,881,19700,10420,156,2269,3691,615,738,3840,5855,282,3005,3589,632,334,818,3328,52737,335509,282772,214086,68686,52737
ACSSF,2019e1,nc,000,0008,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167609,80724,57962,22762,86885,4474,82411,167609,16349,68,654,28,177,1499,11899,4023,1412,836,19778,398,79,10960,2666,102,300,1248,126,42,2373,2351,48,284,600,85,245,291,0,86885,167609,80724,57962,22762,86885
ACSSF,2019e1,nc,000,0008,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321488,277763,207660,70103,43725,4776,38949,321488,15327,4318,3240,842,766,1106,25350,6143,5628,1451,25567,756,622,19131,9961,1042,1539,5568,944,1212,6105,4816,484,8350,2458,534,626,1716,2295,43725,321488,277763,207660,70103,43725
ACSSF,2019e1,nc,000,0008,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382295,300348,223838,76510,81947,9119,72828,382295,26740,1083,3436,807,596,2767,34889,7724,5245,1195,36680,1217,740,27455,11276,725,1861,3989,853,1370,6041,10810,195,3081,1738,890,242,4270,1127,81947,382295,300348,223838,76510,81947
ACSSF,2019e1,nc,000,0008,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69685,50817,39291,11526,18868,2285,16583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69685,50817,39291,11526,18868
ACSSF,2019e1,nc,000,0008,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224529,176231,138939,37292,48298,5724,42574,224529,44348,276,2726,65,0,2385,12903,6560,1780,660,20945,586,390,18244,4158,93,570,2628,89,344,7113,4117,108,6503,639,43,66,924,530,48298,224529,176231,138939,37292,48298
ACSSF,2019e1,nc,000,0008,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537174,433259,340547,92712,103915,12635,91280,537174,40519,3998,3485,839,1288,2337,40595,16439,6894,678,41286,944,1736,30895,15492,665,1964,6628,163,486,15651,9163,379,19362,2306,609,90,2007,4338,103915,537174,433259,340547,92712,103915
