ACSSF,2019e1,nc,000,0180,0000023,102139,0,102139,102139,1294,100845,102139,997,101142,102139,1860,100279,102139,96267,2906,93361,5872,673,5199,7652,1780,184,1596,5872,1376,4496,,,,,,,,2765,709,2056,102139,6649,95490,100927,4655,96272,100927,14878,1838,332,1506,13040,86049,47524,3775,43749,47524,4922,269,4653,42602,47524,43591,4010,39581,3933,47524,45122,6259,38863,2402,47524,45122,4615,40507,2402,43691,483,43208
ACSSF,2019e1,nc,000,0180,0000024,335509,392,335117,335509,5278,330231,335509,7015,328494,335509,5054,330455,335509,312243,16145,296098,23266,1155,22111,36279,13013,1493,11520,23266,2885,20381,,,,,,,,12924,1611,11313,335509,38056,297453,330354,21957,308397,330354,72178,7077,944,6133,65101,258176,158712,15237,143475,158712,19719,541,19178,138993,158712,140559,15885,124674,18153,158712,153821,25913,127908,4891,158712,153821,21307,132514,4891,145388,784,144604
ACSSF,2019e1,nc,000,0180,0000025,167609,20,167589,167609,1701,165908,167609,1150,166459,167609,3696,163913,167609,158100,6126,151974,9509,227,9282,10474,965,358,607,9509,624,8885,,,,,,,,3464,293,3171,167609,11222,156387,165308,8484,156824,165308,13491,1882,0,1882,11609,151817,73916,5780,68136,73916,8611,821,7790,65305,73916,70722,6436,64286,3194,73916,72124,14032,58092,1792,73916,72124,9412,62712,1792,73791,189,73602
ACSSF,2019e1,nc,000,0180,0000026,321488,320,321168,321488,2156,319332,321488,4294,317194,321488,5621,315867,321488,270097,10855,259242,51391,3181,48210,55314,3923,1710,2213,51391,7665,43726,,,,,,,,20999,4755,16244,321488,21182,300306,318387,18899,299488,318387,58556,8022,1301,6721,50534,259831,163535,14599,148936,163535,19170,875,18295,144365,163535,140543,14259,126284,22992,163535,151948,29097,122851,11587,163535,151948,20803,131145,11587,162231,1826,160405
ACSSF,2019e1,nc,000,0180,0000027,382295,190,382105,382295,3380,378915,382295,4870,377425,382295,6934,375361,382295,351299,24749,326550,30996,3898,27098,34181,3185,635,2550,30996,7610,23386,,,,,,,,12572,3866,8706,382295,36123,346172,378246,33769,344477,378246,53066,9544,1538,8006,43522,325180,175290,21318,153972,175290,29400,1411,27989,145890,175290,157681,22796,134885,17609,175290,166218,35991,130227,9072,175290,166218,26921,139297,9072,173605,2930,170675
ACSSF,2019e1,nc,000,0180,0000028,69685,90,69595,69685,3127,66558,69685,1404,68281,69685,1444,68241,69685,64984,7772,57212,4701,890,3811,5955,1254,0,1254,4701,1819,2882,,,,,,,,1774,1106,668,69685,10524,59161,69651,9766,59885,69651,9983,1829,104,1725,8154,59668,31986,5315,26671,31986,5873,76,5797,26113,31986,30182,4804,25378,1804,31986,30835,7142,23693,1151,31986,30835,5741,25094,1151,31911,699,31212
ACSSF,2019e1,nc,000,0180,0000029,224529,142,224387,224529,2484,222045,224529,1947,222582,224529,3001,221528,224529,212629,9068,203561,11900,1549,10351,13777,1877,151,1726,11900,3148,8752,,,,,,,,5135,1980,3155,224529,14713,209816,222286,12445,209841,222286,30556,2830,406,2424,27726,191730,103725,7920,95805,103725,12616,1012,11604,91109,103725,97124,8407,88717,6601,103725,99987,16743,83244,3738,103725,99987,12243,87744,3738,103472,1067,102405
ACSSF,2019e1,nc,000,0180,0000030,537174,449,536725,537174,22476,514698,537174,5831,531343,537174,9695,527479,537174,474704,34339,440365,62470,6518,55952,69428,6958,1316,5642,62470,12489,49981,,,,,,,,32091,7557,24534,537174,54197,482977,531126,45430,485696,531126,85974,16119,1521,14598,69855,445152,250830,32688,218142,250830,44514,1731,42783,206316,250830,219707,31587,188120,31123,250830,236601,54606,181995,14229,250830,236601,44454,192147,14229,244594,4584,240010
ACSSF,2019e1,nc,000,0180,0000031,135976,129,135847,135976,818,135158,135976,1019,134957,135976,1817,134159,135976,128478,5637,122841,7498,588,6910,10476,2978,0,2978,7498,995,6503,,,,,,,,2715,450,2265,135976,10555,125421,133947,7613,126334,133947,18398,2613,76,2537,15785,115549,56252,5251,51001,56252,6630,551,6079,49622,56252,52623,5050,47573,3629,56252,54592,9117,45475,1660,56252,54592,6502,48090,1660,55524,515,55009
ACSSF,2019e1,nc,000,0180,0000032,117417,0,117417,117417,1811,115606,117417,1980,115437,117417,1488,115929,117417,110227,6434,103793,7190,201,6989,8288,1098,167,931,7190,487,6703,,,,,,,,3319,341,2978,117417,10207,107210,116366,7593,108773,116366,13832,2431,304,2127,11401,102534,55144,4590,50554,55144,6260,322,5938,48884,55144,50433,5129,45304,4711,55144,51665,9567,42098,3479,55144,51665,6536,45129,3479,55104,668,54436
ACSSF,2019e1,nc,000,0180,0000033,181806,46,181760,181806,1974,179832,181806,1761,180045,181806,3613,178193,181806,170014,8444,161570,11792,1710,10082,13229,1437,564,873,11792,1960,9832,,,,,,,,4666,1155,3511,181806,16439,165367,179851,12375,167476,179851,23236,3181,428,2753,20055,156615,90096,6799,83297,90096,10802,1696,9106,79294,90096,82640,8350,74290,7456,90096,84430,15325,69105,5666,90096,84430,11239,73191,5666,90084,823,89261
ACSSF,2019e1,nc,000,0180,0000034,209339,0,209339,209339,894,208445,209339,2733,206606,209339,2351,206988,209339,190713,8399,182314,18626,514,18112,21075,2449,476,1973,18626,2147,16479,,,,,,,,4725,898,3827,209339,13243,196096,206712,11136,195576,206712,22015,2121,87,2034,19894,184697,100528,6907,93621,100528,10164,1248,8916,90364,100528,91613,7684,83929,8915,100528,92774,14162,78612,7754,100528,92774,9115,83659,7754,100385,936,99449
ACSSF,2019e1,nc,000,0180,0000035,86111,0,86111,86111,657,85454,86111,546,85565,86111,1695,84416,86111,82406,3590,78816,3705,284,3421,3950,245,0,245,3705,284,3421,,,,,,,,2584,43,2541,86111,6803,79308,84846,5025,79821,84846,7527,978,15,963,6549,77319,41828,3217,38611,41828,4930,413,4517,36898,41828,38730,3258,35472,3098,41828,39280,7298,31982,2548,41828,39280,4577,34703,2548,41819,767,41052
ACSSF,2019e1,nc,000,0180,0000036,1110356,225,1110131,1110356,22071,1088285,1110356,10619,1099737,1110356,12484,1097872,1110356,934740,67531,867209,175616,13858,161758,189690,14074,2179,11895,175616,27434,148182,,,,,,,,66484,15063,51421,1110356,95248,1015108,1094865,88984,1005881,1094865,175507,26478,2512,23966,149029,919358,595622,56609,539013,595622,72697,2483,70214,522925,595622,495534,54238,441296,100088,595622,533479,111227,422252,62143,595622,533479,85180,448299,62143,590416,6253,584163
ACSSF,2019e1,nc,000,0180,0000037,100880,0,100880,100880,990,99890,100880,210,100670,100880,1170,99710,100880,95742,5402,90340,5138,214,4924,6342,1204,102,1102,5138,166,4972,,,,,,,,2073,117,1956,100880,12152,88728,99412,7329,92083,99412,15606,1832,68,1764,13774,83806,45073,5036,40037,45073,6055,525,5530,39018,45073,37501,5209,32292,7572,45073,40569,9088,31481,4504,45073,40569,7195,33374,4504,44912,450,44462
ACSSF,2019e1,nc,000,0180,0000038,94298,0,94298,94298,335,93963,94298,163,94135,94298,1855,92443,94298,90452,12814,77638,3846,499,3347,4378,532,66,466,3846,1095,2751,,,,,,,,2126,353,1773,94298,14921,79377,93256,15039,78217,93256,13751,3659,0,3659,10092,79505,40283,7186,33097,40283,7183,61,7122,33100,40283,37190,6637,30553,3093,40283,38081,9678,28403,2202,40283,38081,7364,30717,2202,39990,0,39990
ACSSF,2019e1,nc,000,0180,0000039,234473,229,234244,234473,2072,232401,234473,2306,232167,234473,3760,230713,234473,221961,15179,206782,12512,1312,11200,14508,1996,372,1624,12512,2000,10512,,,,,,,,5919,1226,4693,234473,21713,212760,231815,19792,212023,231815,42690,7807,0,7807,34883,189125,117434,14239,103195,117434,16790,450,16340,100644,117434,100338,14506,85832,17096,117434,104668,19995,84673,12766,117434,104668,16003,88665,12766,115399,1580,113819
ACSSF,2019e1,nc,000,0180,0000040,197938,209,197729,197938,1019,196919,197938,2266,195672,197938,3517,194421,197938,189796,12770,177026,8142,254,7888,11401,3259,115,3144,8142,1290,6852,,,,,,,,5066,1207,3859,197938,16562,181376,194994,14389,180605,194994,49364,3842,0,3842,45522,145630,100290,9179,91111,100290,14782,26,14756,85508,100290,85708,9058,76650,14582,100290,95330,14646,80684,4960,100290,95330,10779,84551,4960,81993,1755,80238
ACSSF,2019e1,nc,000,0180,0000041,148476,66,148410,148476,1763,146713,148476,5666,142810,148476,2037,146439,148476,130297,6201,124096,18179,1194,16985,22148,3969,967,3002,18179,1891,16288,,,,,,,,8860,1051,7809,148476,11614,136862,147362,8561,138801,147362,37031,4257,238,4019,32774,110331,72803,7378,65425,72803,8661,260,8401,64142,72803,54094,5654,48440,18709,72803,64794,11012,53782,8009,72803,64794,7633,57161,8009,70015,387,69628
ACSSF,2019e1,nc,000,0180,0000042,180742,0,180742,180742,1990,178752,180742,3478,177264,180742,4980,175762,180742,170864,31895,138969,9878,3760,6118,12085,2207,897,1310,9878,3768,6110,,,,,,,,4450,1641,2809,180742,40174,140568,179298,34185,145113,179298,40901,16676,1473,15203,24225,138397,85660,23295,62365,85660,24311,426,23885,61349,85660,76389,22123,54266,9271,85660,80588,33127,47461,5072,85660,80588,27705,52883,5072,85643,5247,80396
ACSSF,2019e1,nc,000,0180,0000043,143667,0,143667,143667,1967,141700,143667,2628,141039,143667,2395,141272,143667,136150,6749,129401,7517,927,6590,8830,1313,247,1066,7517,1596,5921,,,,,,,,1969,277,1692,143667,14025,129642,142636,10295,132341,142636,22105,2712,366,2346,19393,120531,61750,5364,56386,61750,6695,643,6052,55055,61750,57790,5246,52544,3960,61750,58885,10176,48709,2865,61750,58885,8006,50879,2865,61678,854,60824
ACSSF,2019e1,nc,000,0180,0000044,130625,0,130625,130625,1501,129124,130625,694,129931,130625,3926,126699,130625,124610,5463,119147,6015,561,5454,6843,828,256,572,6015,892,5123,,,,,,,,1535,202,1333,130625,21685,108940,129312,7334,121978,129312,9332,1172,39,1133,8160,119980,46910,3191,43719,46910,4189,255,3934,42721,46910,45201,3856,41345,1709,46910,45986,5259,40727,924,46910,45986,4724,41262,924,46867,869,45998
ACSSF,2019e1,nc,000,0180,0000045,91010,413,90597,91010,2371,88639,91010,1852,89158,91010,3640,87370,91010,88908,6681,82227,2102,204,1898,2620,518,263,255,2102,158,1944,,,,,,,,551,80,471,91010,10579,80431,90387,6802,83585,90387,13947,312,0,312,13635,76440,39508,4683,34825,39508,5736,29,5707,33772,39508,37304,4964,32340,2204,39508,38715,7781,30934,793,39508,38715,5518,33197,793,39352,560,38792
ACSSF,2019e1,nc,000,0180,0000046,142088,0,142088,142088,1030,141058,142088,860,141228,142088,1821,140267,142088,134218,4943,129275,7870,839,7031,9815,1945,368,1577,7870,1417,6453,,,,,,,,1935,265,1670,142088,11082,131006,139927,7869,132058,139927,17888,2323,716,1607,15565,122039,63202,3870,59332,63202,5541,370,5171,57661,63202,59239,4244,54995,3963,63202,60686,8384,52302,2516,63202,60686,5797,54889,2516,62289,483,61806
