ACSSF,2019m1,nc,000,0060,0000026,626,2937,2140,1795,1259,416,286,309,1902,1520,1264,44,605,622,4210,3563,3263,829,306,610,538,2972,2866,754,147,216,325,3877,3330,3338,1168,230,174,441,2558,2299,152,236,200,379,5447,4834,4399,975,993,931,715,2327,2215,438,583,543,393,626,2937,2140,1795,1259,607,1902,1520,1264,941,4210,3563,3263,829,829,2972,2866,754,359,3877,3330,3338,1168,529,2558,2299,152,497,5447,4834,4399,975,1421,2327,2215,438,768
ACSSF,2019m1,nc,000,0060,0000027,691,3138,2432,1889,1484,142,178,94,2376,1923,1544,216,287,216,4261,3295,3292,927,364,118,203,3291,3193,697,354,290,85,4811,3807,3696,1062,143,112,156,2620,2422,647,375,325,216,5193,4148,4199,916,515,630,274,2323,2363,454,304,514,146,691,3138,2432,1889,1484,244,2376,1923,1544,287,4261,3295,3292,927,393,3291,3193,697,475,4811,3807,3696,1062,234,2620,2422,647,468,5193,4148,4199,916,740,2323,2363,454,522
ACSSF,2019m1,nc,000,0060,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0060,0000029,540,2314,1603,1498,544,51,216,216,2171,2152,365,72,73,216,3224,2671,2591,819,278,129,216,2072,2019,598,78,216,216,3372,2708,2658,643,360,157,260,1835,1838,313,275,325,216,3309,2957,2867,457,564,855,189,1331,1265,136,91,117,216,540,2314,1603,1498,544,51,2171,2152,365,102,3224,2671,2591,819,298,2072,2019,598,78,3372,2708,2658,643,485,1835,1838,313,409,3309,2957,2867,457,1016,1331,1265,136,147
ACSSF,2019m1,nc,000,0060,0000030,1046,4034,2992,2354,1629,281,730,700,2373,2281,644,467,529,561,5203,4201,3979,1284,651,719,710,3650,3692,494,750,774,358,5874,5339,4914,1384,775,653,661,3011,2916,562,631,174,325,6180,5283,5603,1060,1297,1427,710,3078,2876,699,272,512,459,1046,4034,2992,2354,1629,1058,2373,2281,644,901,5203,4201,3979,1284,1177,3650,3692,494,1091,5874,5339,4914,1384,1143,3011,2916,562,785,6180,5283,5603,1060,1872,3078,2876,699,726
ACSSF,2019m1,nc,000,0060,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,1670,1073,887,539,216,1246,990,594,163,2699,2174,2146,567,92,2035,2039,87,228,2702,2502,2515,592,290,1437,1367,315,162,2483,1993,1816,575,232,1023,1012,63,140
ACSSF,2019m1,nc,000,0060,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843,2298,1679,1129,1067,421,1478,1370,412,123,2446,1967,1523,1067,353,1486,1357,428,694,2800,2211,2143,559,400,1984,1827,629,174,2631,2113,2058,299,289,1270,1243,191,405
ACSSF,2019m1,nc,000,0060,0000033,1196,1853,1256,1158,644,216,216,216,1191,1016,356,144,190,31,2561,2200,2074,797,543,448,216,1423,1434,199,211,201,216,2620,2375,2338,590,226,273,216,1279,1304,88,297,187,63,2613,2394,2356,621,478,319,255,1362,1349,234,298,194,130,1196,1853,1256,1158,644,216,1191,1016,356,251,2561,2200,2074,797,695,1423,1434,199,276,2620,2375,2338,590,399,1279,1304,88,340,2613,2394,2356,621,623,1362,1349,234,398
ACSSF,2019m1,nc,000,0060,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,2601,1952,1710,1061,312,1733,1403,723,369,3770,2672,2610,840,146,2414,2381,349,26,4330,3996,3777,848,704,2665,2697,416,493,3767,3602,3391,457,1025,1606,1437,228,598
ACSSF,2019m1,nc,000,0060,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,1511,703,668,334,216,1188,1078,429,28,2105,2069,2024,464,216,1193,1150,186,76,2153,2223,2138,586,201,1306,1297,301,153,2079,1823,1765,296,216,1020,1017,109,216
