ACSSF,2019e1,nc,000,0034,0000011,226176,10593,13582,11364,26467,22223,35907,29101,21954,7640,9067,6521,2674,15226,13857,193919,8715,10634,10390,20685,19348,30789,26443,20094,6565,7918,4923,1800,13023,12592,24873,1858,2485,870,4666,2416,3947,1995,671,789,649,1442,773,1476,836,477,0,54,0,122,115,71,106,0,0,0,0,0,0,9,2889,20,133,0,0,235,540,232,756,204,448,48,8,175,90,4018,0,276,104,994,109,560,325,433,82,52,108,93,552,330,6434910,499820,570030,384175,1032020,544365,999920,637305,487230,154095,191560,139190,47625,403455,344115,226176,10593,13582,11364,26467,22223,35907,29101,21954,7640,47345,193919,8715,10634,10390,20685,19348,30789,26443,20094,6565,40256,24873,1858,2485,870,4666,2416,3947,1995,671,789,5176,477,0,54,0,122,115,71,106,0,0,9,6907,20,409,104,994,344,1100,557,1189,286,1904
ACSSF,2019e1,nc,000,0034,0000012,786733,37650,32702,40311,78696,79164,118713,104714,80857,32185,36208,20782,9594,58040,57117,679893,31138,26573,36388,66918,68971,103151,95330,71255,27818,30587,17322,6977,47680,49785,75623,5174,5376,3468,8308,8684,12187,6361,5079,2819,3681,2811,1850,6363,3462,2172,63,67,7,396,275,513,417,32,89,12,0,13,154,134,15275,469,198,218,656,673,681,1798,2912,981,1417,394,641,2088,2149,13770,806,488,230,2418,561,2181,808,1579,478,511,255,113,1755,1587,20795245,1561685,1289880,1398485,2708045,2050170,3121445,2247475,1631930,542775,803935,473070,185505,1432945,1347905,786733,37650,32702,40311,78696,79164,118713,104714,80857,32185,181741,679893,31138,26573,36388,66918,68971,103151,95330,71255,27818,152351,75623,5174,5376,3468,8308,8684,12187,6361,5079,2819,18167,2172,63,67,7,396,275,513,417,32,89,313,29045,1275,686,448,3074,1234,2862,2606,4491,1459,10910
ACSSF,2019e1,nc,000,0034,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980460,246240,83085,97095,200320,229330,335505,242765,159235,27995,71985,55100,8815,101860,121125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0034,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333280,61930,32810,82270,125540,134035,225205,170905,122015,78555,102990,52880,19235,77035,47880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0034,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2440560,86585,56310,51490,162000,231640,425330,386635,265415,169060,179685,89560,32330,148305,156215,113462,3181,2152,2161,6737,8541,17175,18119,13136,9839,32421,99790,2738,1787,2067,6020,7507,15042,16212,12313,8950,27154,7840,230,365,90,717,452,1293,1660,342,576,2115,885,121,0,4,0,155,0,34,169,150,252,4947,92,0,0,0,427,840,213,312,163,2900
ACSSF,2019e1,nc,000,0034,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915715,112245,42840,97210,87525,91900,161355,69115,72315,18615,20145,16635,6115,41625,78075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0034,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3048745,204725,61285,156560,353850,297990,655475,264295,368635,188015,125685,78280,10950,107335,175675,102203,5856,2274,3989,10456,10402,17899,10275,12713,5637,22702,86314,4369,1845,3236,9086,9086,13512,8952,11864,4608,19756,10280,1173,429,676,1003,964,2112,929,577,944,1473,1364,0,0,0,0,239,672,313,0,85,55,4245,314,0,77,367,113,1603,81,272,0,1418
ACSSF,2019e1,nc,000,0034,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013580,66640,61135,91465,114635,115885,157090,74440,63615,54145,33360,18940,22685,71405,68130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0034,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687065,15375,15950,39865,100575,73345,121050,77265,59130,17505,52230,28750,18320,26835,40870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0034,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720880,81215,74590,76520,218855,230935,246480,168395,145350,46245,78925,55635,10750,111990,174990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
